Year,Phase,Paper,Completeness,Approx Qs,Solutions,Size,File,Attempted (date / score)
2025,Mains,2025-Mains-01Feb2026-English,Full paper,4,Yes,7084 KB,mains/2025-Mains-01Feb2026-English.pdf,
2024,Mains,2024-Mains-English,Full paper,200,Yes,1232 KB,mains/2024-Mains-English.pdf,
2023,Mains,2023-Mains-English-Full2,Full paper,120,Yes,1189 KB,mains/2023-Mains-English-Full2.pdf,
2023,Mains,2023-Mains-OA-Computer,Sectional extract,40,No,459 KB,mains/2023-Mains-OA-Computer.pdf,
2023,Mains,2023-Mains-OA-Full,Full paper,197,Yes,2826 KB,mains/2023-Mains-OA-Full.pdf,
2022,Mains,2022-Mains-English-Full2,Full paper,111,Yes,1241 KB,mains/2022-Mains-English-Full2.pdf,
2022,Mains,2022-Mains-OA-Full,Sectional extract,40,No,334 KB,mains/2022-Mains-OA-Full.pdf,
2022,Mains,2022-Mains-OA-GeneralAwareness,Sectional extract,37,No,487 KB,mains/2022-Mains-OA-GeneralAwareness.pdf,
2021,Mains,2021-Mains-English-Full2,Full paper,116,Yes,1077 KB,mains/2021-Mains-English-Full2.pdf,
2021,Mains,2021-Mains-OA,Full paper,150,Yes,1280 KB,mains/2021-Mains-OA.pdf,
2020,Mains,2020-Mains-English-Full2,Full paper,117,Yes,367 KB,mains/2020-Mains-English-Full2.pdf,
2020,Mains,2020-Mains-English-SOLUTIONS,Solutions only,113,No,424 KB,mains/2020-Mains-English-SOLUTIONS.pdf,
2020,Mains,2020-Mains-OA-English,Sectional extract,77,No,1035 KB,mains/2020-Mains-OA-English.pdf,
2019,Mains,2019-Mains-English,Full paper,120,No,571 KB,mains/2019-Mains-English.pdf,
2018,Mains,2018-Mains-English-Full2,Full paper,120,Yes,746 KB,mains/2018-Mains-English-Full2.pdf,
2018,Mains,2018-Mains-OA-Paper,Full paper,184,Yes,1624 KB,mains/2018-Mains-OA-Paper.pdf,
2018,Mains,2018-Mains-OA-Quant,Fragment,14,No,389 KB,mains/2018-Mains-OA-Quant.pdf,
2018,Mains,2018-Mains-OA-Reasoning,Fragment,2,No,492 KB,mains/2018-Mains-OA-Reasoning.pdf,
2018,Mains,2018-Mains-OA-Solutions,Solutions only,198,Yes,484 KB,mains/2018-Mains-OA-Solutions.pdf,
2017,Mains,2017-Mains-English,Full paper,120,Yes,579 KB,mains/2017-Mains-English.pdf,
2025,Prelims,2025-Prelims-07Dec-Shift1-English,Full paper (80Q),80,Yes,536 KB,prelims/2025-Prelims-07Dec-Shift1-English.pdf,
2025,Prelims,2025-Prelims-13Dec-Shift2-English,Full paper (80Q),80,Yes,591 KB,prelims/2025-Prelims-13Dec-Shift2-English.pdf,
2025,Prelims,2025-Prelims-OA-06Dec-Shift1-English,Full paper (80Q),80,Yes,791 KB,prelims/2025-Prelims-OA-06Dec-Shift1-English.pdf,
2025,Prelims,2025-Prelims-OA-06Dec-Shift2-English,Full paper (80Q),79,Yes,782 KB,prelims/2025-Prelims-OA-06Dec-Shift2-English.pdf,
2025,Prelims,2025-Prelims-OA-13Dec-Shift1,Full paper (80Q),80,Yes,500 KB,prelims/2025-Prelims-OA-13Dec-Shift1.pdf,
2024,Prelims,2024-Prelims-10Aug-Shift2-English,Full paper (80Q),80,Yes,1324 KB,prelims/2024-Prelims-10Aug-Shift2-English.pdf,
2024,Prelims,2024-Prelims-10Aug-Shift3-English,Full paper (80Q),76,Yes,1285 KB,prelims/2024-Prelims-10Aug-Shift3-English.pdf,
2024,Prelims,2024-Prelims-17Aug-Shift1-English,Full paper (80Q),77,Yes,1047 KB,prelims/2024-Prelims-17Aug-Shift1-English.pdf,
2024,Prelims,2024-Prelims-OA-English,Full paper (80Q),74,No,430 KB,prelims/2024-Prelims-OA-English.pdf,
2023,Prelims,2023-Prelims-OA-English,Full paper (80Q),75,No,588 KB,prelims/2023-Prelims-OA-English.pdf,
2022,Prelims,2022-Prelims-07Aug-Set04-English,Full paper (80Q),75,Yes,1237 KB,prelims/2022-Prelims-07Aug-Set04-English.pdf,
2022,Prelims,2022-Prelims-13Aug-Set05-English,Full paper (80Q),78,Yes,1224 KB,prelims/2022-Prelims-13Aug-Set05-English.pdf,
2022,Prelims,2022-Prelims-13Aug-Set06-English,Full paper (80Q),75,Yes,1137 KB,prelims/2022-Prelims-13Aug-Set06-English.pdf,
2022,Prelims,2022-Prelims-13Aug-Set07-English,Full paper (80Q),79,Yes,1260 KB,prelims/2022-Prelims-13Aug-Set07-English.pdf,
2022,Prelims,2022-Prelims-13Aug-Set08-English,Full paper (80Q),80,Yes,1236 KB,prelims/2022-Prelims-13Aug-Set08-English.pdf,
2022,Prelims,2022-Prelims-14Aug-Set09-English,Full paper (80Q),78,Yes,653 KB,prelims/2022-Prelims-14Aug-Set09-English.pdf,
2022,Prelims,2022-Prelims-14Aug-Set10-English,Full paper (80Q),76,Yes,727 KB,prelims/2022-Prelims-14Aug-Set10-English.pdf,
2022,Prelims,2022-Prelims-English,Full paper (80Q),80,No,1002 KB,prelims/2022-Prelims-English.pdf,
2022,Prelims,2022-Prelims-English-SOLUTIONS,Solutions only,0,No,816 KB,prelims/2022-Prelims-English-SOLUTIONS.pdf,
2021,Prelims,2021-Prelims-OA-Quant,Fragment,4,No,163 KB,prelims/2021-Prelims-OA-Quant.pdf,
2020,Prelims,2020-Prelims-English-Full,Full paper (80Q),80,No,318 KB,prelims/2020-Prelims-English-Full.pdf,
2020,Prelims,2020-Prelims-English-SOLUTIONS,Solutions only,60,No,313 KB,prelims/2020-Prelims-English-SOLUTIONS.pdf,
2020,Prelims,2020-Prelims-OA-Quant,Sectional extract,31,No,305 KB,prelims/2020-Prelims-OA-Quant.pdf,
2020,Prelims,2020-Prelims-OA-Reasoning,Fragment,21,No,494 KB,prelims/2020-Prelims-OA-Reasoning.pdf,
2019,Prelims,2019-Prelims-OA-Quant,Sectional extract,33,No,322 KB,prelims/2019-Prelims-OA-Quant.pdf,
2019,Prelims,2019-Prelims-OA-Reasoning,Fragment,21,No,317 KB,prelims/2019-Prelims-OA-Reasoning.pdf,
2018,Prelims,2018-Prelims-OA-Paper,Full paper (80Q),76,No,699 KB,prelims/2018-Prelims-OA-Paper.pdf,
2018,Prelims,2018-Prelims-OA-Solutions,Solutions only,71,No,322 KB,prelims/2018-Prelims-OA-Solutions.pdf,
2016,Prelims,2016-Prelims-OA,Scanned image,,n/a,2416 KB,prelims/2016-Prelims-OA.pdf,
