id,bim360_account_id,name,trade,category,address_line1,address_line2,city,state_or_province,postal_code,country,phone,website_url,description,erp_id,tax_id,status,created_at,project_size,user_size,custom_properties
d260b234-eae6-4c48-a8a0-4c869a1ad2a8,bf996092-8d66-408a-8d8e-5065ca3330c2,VKJ Projects Pvt. Ltd.,"",,"","","","","",IN,"","","","","",,2025-05-05 08:21:56.49,2,9,
ebffa796-63a5-4dc8-ad3a-f511b5b5894c,bf996092-8d66-408a-8d8e-5065ca3330c2,GEOCON INTERNATIONAL PVT. LTD.,"",,,,,,,,,"","","","",,2025-06-06 12:02:19.885,3,1,
f265158e-5831-47a3-a03f-aa6a2a0ea0c2,bf996092-8d66-408a-8d8e-5065ca3330c2,Amitech Project (India) Pvt. Ltd,"",,,,,,,,,"","","","",,2025-07-22 08:59:13.484,1,3,
a0db0e7f-e573-4560-816b-a3c17527aaaf,bf996092-8d66-408a-8d8e-5065ca3330c2,Suroj Buildcon Pvt Ltd,General Contractor,,"","","",,"",IN,"","","","","",,2025-08-26 06:35:21.066,1,2,
2d6babee-b45b-432a-972c-32177949ddf3,bf996092-8d66-408a-8d8e-5065ca3330c2,Krion Consulting Pvt Ltd,"",,"","","","","",IN,"","","","","",,2025-05-01 08:29:50.106,10,3,
58f22951-1d40-4747-ab73-57b0172e5ed9,bf996092-8d66-408a-8d8e-5065ca3330c2,"removed at Wed, 16 Jul 2025 10:48:41 GMT 81d14854-0f4a-41eb-a917-8136eed67bbf","",,"","","","","",IN,"","","","","",deleted,2025-05-01 10:32:11.714,0,0,
35024343-3c12-4a1f-b5ee-cce77b5df0ef,bf996092-8d66-408a-8d8e-5065ca3330c2,"removed at Wed, 16 Jul 2025 10:52:13 GMT a319db07-1d9e-4ae3-a499-76507c42bc71","",,"","","","","",IN,"","",Fictitious Company,"","",deleted,2025-05-01 10:34:04.135,1,0,
71bd8ec2-fa63-4d67-a834-6cbf3ddc88d9,bf996092-8d66-408a-8d8e-5065ca3330c2,Indigo Infraprojects Pvt. Ltd.,"",,,,,,,,,"","","","",,2025-05-19 05:55:17.849,2,4,
1b51fa53-8472-4238-a32a-9de83cf8611a,bf996092-8d66-408a-8d8e-5065ca3330c2,Wagad Buildcon,"",,,,,,,,,"","","","",,2025-06-19 04:35:24.192,2,2,
dac67700-324b-4afc-a11c-28fb7e2c5f2e,bf996092-8d66-408a-8d8e-5065ca3330c2,Ducon Consultants Pvt. Ltd,"",,,,,,,,,"","","","",,2025-03-21 10:38:38.429,1,3,
058d057f-0388-4a97-b140-896eb3dc0865,bf996092-8d66-408a-8d8e-5065ca3330c2,"removed at Wed, 16 Jul 2025 10:52:07 GMT ae979463-3f51-48e0-9261-403b79edb6b1","",,,,,,,,,"","","","",deleted,2025-05-27 09:44:04.247,1,0,
f15e5ceb-2278-47d3-b62b-1de1ae8f2c86,bf996092-8d66-408a-8d8e-5065ca3330c2,Vintech Consultants,"",,,,,,,,,"","","","",,2025-05-29 12:19:21.243,3,2,
749b07f0-9087-4138-9cb1-989ced99a84e,bf996092-8d66-408a-8d8e-5065ca3330c2,Krishna Buildestate Pvt Ltd,General Contractor,,"","","","","",IN,"","",Retail & Club Civil Contractor,"","",,2025-08-01 11:34:34.616,2,9,
e009ea24-9ebd-425e-b7b1-524002f34181,bf996092-8d66-408a-8d8e-5065ca3330c2,Rahlan Construction Pvt Ltd,"",,,,,,,,,"","","","",,2025-06-30 09:29:18.821,1,4,
aef62720-62c7-4051-adb8-ba653d4e957c,bf996092-8d66-408a-8d8e-5065ca3330c2,Omaxe Limited,,owner,,,,,,,,,,,,,2025-02-01 04:01:42.632,14,110,
d25e21c1-f3a2-4e7a-b07e-1c701c831355,bf996092-8d66-408a-8d8e-5065ca3330c2,Autodesk,"",,,,,,,,,"","","","",,2025-07-10 11:40:40.224,1,0,
c32a8385-d525-4470-8a04-63221b92d567,bf996092-8d66-408a-8d8e-5065ca3330c2,BENTEL ASSOCIATES INTERNATIONAL,"",,"","","","","",IN,"","",Architecture Consultant (Retail),"","",,2025-02-18 06:00:36.768,4,11,
63401c11-99d1-4a33-93a6-a8c26e525969,bf996092-8d66-408a-8d8e-5065ca3330c2,VENEKLASEN ASSOCIATE INDIA LLP,"",,"","","","","",IN,"","","ICT, Security, Audio Visual & Acoustics Consultant 
","","",,2025-02-18 06:03:59.658,4,8,
4cdf3fd6-d364-45e4-906c-da70ce55ffa6,bf996092-8d66-408a-8d8e-5065ca3330c2,SANELAC CONSULTANTS PVT.LTD,"",,"","","","","",IN,"","","Mechanical , Electrical and Plumbing Consultant","","",,2025-02-18 06:02:37.156,4,7,
d9b41f5c-2ef9-407d-94e3-47c58e405f63,bf996092-8d66-408a-8d8e-5065ca3330c2,PERCEPTIVE IDEAS CONSULTING ENGINEERS PRIVATE LIMITED,"",,"","","","","",IN,"","",Structural Consultant,"","",,2025-02-18 06:01:52.179,4,5,
b90c8498-0ead-4df0-ac6e-cf5bd7eb2b46,bf996092-8d66-408a-8d8e-5065ca3330c2,MATRIX MANAGEMENT CONSULTANTS PVT. LTD,"",,"","","","","",IN,"","","Vertical Transport Consultant
","","",,2025-02-18 06:04:51.085,4,1,
1c522eea-eb4f-4030-a78e-4f19f3d1e56e,bf996092-8d66-408a-8d8e-5065ca3330c2,ETHEREAL DESIGNS,"",,"","","","","",IN,+91,"","Light Consultant
","","",,2025-02-18 06:05:49.564,4,2,
58505617-d6d1-4057-968c-69c91d7e7cb9,bf996092-8d66-408a-8d8e-5065ca3330c2,SIKKA ASSOCIATES ARCHITECTS,"",,"","","","","",IN,+91,"","","","",,2025-02-18 05:59:38.565,4,2,
4bd42c58-7da6-446e-bab6-9c4bb2789d0d,bf996092-8d66-408a-8d8e-5065ca3330c2,MAG ENVIRONMENTAL CONSULTANTS LLP,"",,"","","","","",IN,"","","Green Building Consultant
","","",,2025-02-18 06:07:19.627,4,1,
c83760d4-5a04-400a-b8ac-ca4b039d44db,bf996092-8d66-408a-8d8e-5065ca3330c2,SARG DESIGN STUDIO LLP,"",,"","","","","",IN,+91,"",Signage Consultant,"","",,2025-02-18 06:08:19.542,4,2,
f7ec7d83-280d-4113-98b9-779a9fcd2e25,bf996092-8d66-408a-8d8e-5065ca3330c2,HPG CONSULTING PVT. LTD,"",,"","","","","",IN,"","",BOH & Kitchen Consultant,"","",,2025-02-18 06:06:32.394,4,2,
69a62377-ccc5-438b-b1dc-ab40c47d9155,bf996092-8d66-408a-8d8e-5065ca3330c2,BES CONSULTANTS PVT. LTD.,"",,"","","","","",IN,"","",Façade Consultant,"","",,2025-02-18 06:07:58.621,4,2,
ac903901-db99-400f-a48e-52bad0003c3f,bf996092-8d66-408a-8d8e-5065ca3330c2,GIAN P MATHUR & ASSOCIATES PRIVATE LIMITED,"",,"","","","","",IN,"","","Liaisoning Consultant
","","",,2025-02-18 06:48:35.601,9,6,
f424a4c5-9655-46f8-8a14-7c6dbc0d40f3,bf996092-8d66-408a-8d8e-5065ca3330c2,WESTERN OUTDOOR STRUCTURES PVT LTD,"",,"","","","","",IN,"","","Roof Consultant
","","",,2025-02-18 06:50:45.935,4,2,
a5c4c48f-61b8-4133-a860-7ce253e379b6,bf996092-8d66-408a-8d8e-5065ca3330c2,WALTER P MOORE,"",,"","","","","",IN,"","","Structural Peer Review Consultant
","","",,2025-02-18 06:49:01.25,4,3,
aa1dfcc9-d467-4737-a965-4205b744b4dd,bf996092-8d66-408a-8d8e-5065ca3330c2,PERFACT ENVIROSOLUTIONS PRIVATE LIMITED,"",,"","","","","",IN,"","","EC Consultant
","","",,2025-02-18 06:50:22.471,4,2,
287efcec-d653-4e6f-a8d0-57e32afab105,bf996092-8d66-408a-8d8e-5065ca3330c2,PANKAJ DHARKAR & ASSOCIATES,"",,"","","","","",IN,"","","MEP Peer Review Consultant
","","",,2025-02-18 06:49:24.617,4,5,
61a3b616-1efe-4bf5-83ab-bf769e0a9317,bf996092-8d66-408a-8d8e-5065ca3330c2,INTEGRAL DESIGNS INTERNATIONAL STUDIO PVT. LTD,"",,,,,,,,,"","Landscape Consultant
","","",,2025-02-18 06:48:05.384,4,2,
b517d3f1-c037-4826-ac4a-da17100bad43,bf996092-8d66-408a-8d8e-5065ca3330c2,UNITRANS MOBILITY SOLUTIONS,"",,"","","","","",IN,"","","Traffic Consultant
","","",,2025-02-18 06:50:04.353,4,1,
ac8d580f-cca3-40de-a5b1-3b6f190f7fe9,bf996092-8d66-408a-8d8e-5065ca3330c2,RWDI CONSULTING ENGINEERS (INDIA) PVT. LTD,"",,"","","","","",IN,+91,"","Wind Tunnel Analysis
","","",,2025-02-18 06:49:43.799,4,1,
7d525205-382b-4e35-a762-3f0f69a57d43,bf996092-8d66-408a-8d8e-5065ca3330c2,CBM Engineers India,"",,"","","","","",IN,"","","","","",,2025-03-21 10:07:20.852,3,2,
