id,bim360_account_id,name,start_date,end_date,type,value,currency,status,job_number,address_line1,address_line2,city,state_or_province,postal_code,country,timezone,construction_type,contract_type,business_unit_id,last_sign_in,created_at,acc_project,latitude,longitude,updated_at,status_reason,total_member_size,total_company_size,classification
967e785d-d83c-490b-8d6a-2ed926c956ac,bf996092-8d66-408a-8d8e-5065ca3330c2,Vrindavan Courtyard,2024-07-04 00:00:00,2027-08-10 00:00:00,Retail,0,INR,active,,The Omaxe Mall,"Rukmani Vihar, Sector 3","Vrindavan, Mathura",UP,281121,IN,Asia/Kolkata,,,,,2025-03-21 06:44:38.932,t,27.357103,77.62507,2025-05-01 07:44:59.623,,62,7,production
e9b596f2-48ee-419b-a199-da304b38c398,bf996092-8d66-408a-8d8e-5065ca3330c2,Centre Point - Prayagraj,,,Retail,0,USD,active,,,,,,,US,,,,,,2025-05-31 06:54:36.372,t,,,2025-05-31 06:58:24.353,,43,5,production
b8edcd70-28bb-4319-af76-e8f8c0a1cd67,bf996092-8d66-408a-8d8e-5065ca3330c2,Bus Port,,,Template Project,0,USD,active,,,,,,,US,,,,,,2025-05-21 10:38:23.841,t,,,2025-05-21 10:42:39.633,,4,2,template
1087faa2-780e-45f2-a023-368facf7cc30,bf996092-8d66-408a-8d8e-5065ca3330c2,Master Template - Retail,,,Template Project,0,USD,active,,,,,,,US,,,,,,2025-03-21 06:32:57.671,t,,,2025-03-21 06:34:56.349,,4,1,template
5f478d4c-bbba-42cf-9532-4c830f687b31,bf996092-8d66-408a-8d8e-5065ca3330c2,civl works,,,Template Project,0,USD,active,,,,,,,,,,,,,2025-06-09 07:21:41.766,t,,,2025-06-09 07:21:45.262,,1,0,template
1b9ab417-1b67-460b-a854-2e443d5b6f4f,bf996092-8d66-408a-8d8e-5065ca3330c2,Component Library Project 1262dba0-dba4-40b0-8a3c-02260e4d76c1,,,Component Library Project,0,USD,active,,,,,,,,,,,,,2025-02-10 11:53:04.735,t,,,2025-02-10 11:53:05.694,,7,2,component
d3e63b56-0fd8-48c4-a595-b59dec992cd7,bf996092-8d66-408a-8d8e-5065ca3330c2,The Omaxe State,,,Religious Building,0,INR,archived,,,,,,,,,,,,,2025-02-21 13:16:27.539,t,,,2025-02-21 13:25:33.711,,1,1,production
85aceded-1588-4f99-bfba-6fe212b8cb9a,bf996092-8d66-408a-8d8e-5065ca3330c2,Global Project Template,,,Template Project,0,USD,active,,,,,,,,,,,,,2025-02-18 04:41:52.8,t,,,2025-03-07 04:31:48.962,,3,1,template
3473261e-0400-4f3f-881d-b12012018bee,bf996092-8d66-408a-8d8e-5065ca3330c2,Construction : Sample Project - Seaport Civic Center,2025-02-01 00:00:00,2028-02-01 00:00:00,Demonstration Project,0,INR,archived,,Nehru Place Road,,New Delhi,DL,110019,IN,Asia/Kolkata,,,,,2025-02-01 10:46:12.879,t,28.55019,77.250929,2025-04-29 08:55:19.113,,3,1,sample
2407fb98-b0ae-4470-944d-73b14ccc6347,bf996092-8d66-408a-8d8e-5065ca3330c2,Centre Point - Prayag (no template used so archived),,,Retail,0,USD,archived,,,,,,,,Asia/Kolkata,,,,,2025-05-21 11:29:23.845,t,,,2025-05-31 06:54:20.234,,35,5,production
f6ab14eb-1a66-4ea5-8a0f-0afbda444403,bf996092-8d66-408a-8d8e-5065ca3330c2,Centre Point - Gomti Nagar,2025-04-29 00:00:00,2029-04-28 00:00:00,Retail,0,USD,active,,Shaheed Path,,Lucknow,UP,226010,IN,Asia/Kolkata,,,,,2025-05-21 10:51:00.696,t,26.821257,81.012712,2025-07-25 12:09:56.803,,53,8,production
94e46603-a987-42b3-b038-c708d5b5044f,bf996092-8d66-408a-8d8e-5065ca3330c2,Test,,,Performing Arts,0,USD,archived,,,,,,,,,,,,,2025-05-30 11:50:05.509,t,,,2025-05-30 11:50:28.531,,1,1,production
