id,version,bim360_account_id,bim360_project_id,label,description,status_set_id,created_at,created_by,updated_at,updated_by,deleted_at,deleted_by,sort_order
92d6a461-d2fb-428a-9493-e644d57a6295,53799301,bf996092-8d66-408a-8d8e-5065ca3330c2,1b9ab417-1b67-460b-a854-2e443d5b6f4f,Specified,Specified,e2093a82-ba0e-47ce-804e-8d3bc1542c12,2025-02-10 11:53:27.687,7G5ALB7C2DNA,2025-02-10 11:53:27.687,7G5ALB7C2DNA,,,1
6610af86-f5a5-4a02-b3c8-81c6a413689b,53799302,bf996092-8d66-408a-8d8e-5065ca3330c2,1b9ab417-1b67-460b-a854-2e443d5b6f4f,Ordered,Ordered,e2093a82-ba0e-47ce-804e-8d3bc1542c12,2025-02-10 11:53:27.687,7G5ALB7C2DNA,2025-02-10 11:53:27.687,7G5ALB7C2DNA,,,2
3ca8984b-d633-4a51-a16b-b1095531da91,53799303,bf996092-8d66-408a-8d8e-5065ca3330c2,1b9ab417-1b67-460b-a854-2e443d5b6f4f,Delivered,Delivered,e2093a82-ba0e-47ce-804e-8d3bc1542c12,2025-02-10 11:53:27.687,7G5ALB7C2DNA,2025-02-10 11:53:27.687,7G5ALB7C2DNA,,,3
87f40306-5dab-474a-a6d6-67fbc2d5799d,53799304,bf996092-8d66-408a-8d8e-5065ca3330c2,1b9ab417-1b67-460b-a854-2e443d5b6f4f,Installed,Installed,e2093a82-ba0e-47ce-804e-8d3bc1542c12,2025-02-10 11:53:27.687,7G5ALB7C2DNA,2025-02-10 11:53:27.687,7G5ALB7C2DNA,,,4
ab8a7a1c-8c50-4297-b93c-e5b1790bb0d4,53799305,bf996092-8d66-408a-8d8e-5065ca3330c2,1b9ab417-1b67-460b-a854-2e443d5b6f4f,Pre-Start-Up,Pre-Start-Up,e2093a82-ba0e-47ce-804e-8d3bc1542c12,2025-02-10 11:53:27.687,7G5ALB7C2DNA,2025-02-10 11:53:27.687,7G5ALB7C2DNA,,,5
afa5df6d-2474-41d6-8727-36c4520d2a08,53799306,bf996092-8d66-408a-8d8e-5065ca3330c2,1b9ab417-1b67-460b-a854-2e443d5b6f4f,Start-Up,Start-Up,e2093a82-ba0e-47ce-804e-8d3bc1542c12,2025-02-10 11:53:27.687,7G5ALB7C2DNA,2025-02-10 11:53:27.687,7G5ALB7C2DNA,,,6
a44fc46a-9c82-4852-9555-141a8a10d3b3,53799307,bf996092-8d66-408a-8d8e-5065ca3330c2,1b9ab417-1b67-460b-a854-2e443d5b6f4f,Pre-Functional Performance Tests,Pre-Functional Performance Tests,e2093a82-ba0e-47ce-804e-8d3bc1542c12,2025-02-10 11:53:27.687,7G5ALB7C2DNA,2025-02-10 11:53:27.687,7G5ALB7C2DNA,,,7
f391c0ae-e9f8-4db0-846c-a6e7ba5d078c,53799308,bf996092-8d66-408a-8d8e-5065ca3330c2,1b9ab417-1b67-460b-a854-2e443d5b6f4f,Functional Performance Tests,Functional Performance Tests,e2093a82-ba0e-47ce-804e-8d3bc1542c12,2025-02-10 11:53:27.687,7G5ALB7C2DNA,2025-02-10 11:53:27.687,7G5ALB7C2DNA,,,8
fb47f98d-31ce-4dde-9c75-d17fc339292d,53799309,bf996092-8d66-408a-8d8e-5065ca3330c2,1b9ab417-1b67-460b-a854-2e443d5b6f4f,Acceptance,Acceptance,e2093a82-ba0e-47ce-804e-8d3bc1542c12,2025-02-10 11:53:27.687,7G5ALB7C2DNA,2025-02-10 11:53:27.687,7G5ALB7C2DNA,,,9
1c9686cd-623d-4fcb-9464-a8cf4c204083,53799310,bf996092-8d66-408a-8d8e-5065ca3330c2,1b9ab417-1b67-460b-a854-2e443d5b6f4f,Post-Acceptance,Post-Acceptance,e2093a82-ba0e-47ce-804e-8d3bc1542c12,2025-02-10 11:53:27.687,7G5ALB7C2DNA,2025-02-10 11:53:27.687,7G5ALB7C2DNA,,,10
