uid,layout_uid,bim360_account_id,bim360_project_id,sort_index,label,description,form_section_id,assignee_id,assignee_type,display_index
e67794ce-0510-487a-a792-aab2303d630b,039568c5-cd8d-45ac-981a-18c62f653db2,bf996092-8d66-408a-8d8e-5065ca3330c2,5f478d4c-bbba-42cf-9532-4c830f687b31,0,Work Log,,,,,1
cad1009c-5cc9-4bc4-b3fc-eafea35dd980,02ebd9da-44c1-4619-b3fa-8a0aaf3680c4,bf996092-8d66-408a-8d8e-5065ca3330c2,b8edcd70-28bb-4319-af76-e8f8c0a1cd67,0,Maker - Pour Card Details,"Maker Responsibility's :-

1. Assign the form to yourself by choosing your name from the section assignee dropdown.
2. All star marked questions are mandatory for all.
3. Fill all the details as per site condition and check before submitting this section.",,,,1
21d6404c-c2f8-4cdd-a1bc-d111f41655a0,02ebd9da-44c1-4619-b3fa-8a0aaf3680c4,bf996092-8d66-408a-8d8e-5065ca3330c2,b8edcd70-28bb-4319-af76-e8f8c0a1cd67,1,Maker - Formwork Checklist,"Maker Responsibility's :-

1. Assign the form to yourself by choosing your name from the section assignee dropdown.
2. All star marked questions are mandatory for all.
3. Fill all the details as per site condition and check before reassigning.
4. Ensure to Sign and attach selfie before reassigning.
5. Ensure to reassign the form's section rather than submitting  the section.",,,,2
99f9c198-6012-4e05-9a81-075c368ecd7e,02ebd9da-44c1-4619-b3fa-8a0aaf3680c4,bf996092-8d66-408a-8d8e-5065ca3330c2,b8edcd70-28bb-4319-af76-e8f8c0a1cd67,2,Checker - Formwork Checklist,"Checker Responsibility's :-

1. Assign the form to yourself by choosing your name from the section assignee dropdown.
2. All star marked questions are mandatory for all.
3. Check all the details as per site condition and if not accepted, then reassign back to previous step by commenting on the question which needs change.
4. Ensure to Sign and attach selfie before submission/reassigning of section and closing of Form.
5. Ensure to submit/reassign all the sections assigned to you.",,,,3
46c0f2e9-8fab-438c-b1b3-4e3e364283f6,02ebd9da-44c1-4619-b3fa-8a0aaf3680c4,bf996092-8d66-408a-8d8e-5065ca3330c2,b8edcd70-28bb-4319-af76-e8f8c0a1cd67,3,Approver - Formwork Checklist,"Approver Responsibility's :-

1. Assign the form to yourself by choosing your name from the section assignee dropdown.
2. All star marked questions are mandatory for all.
3. Check all the details as per site condition and if not accepted, then reassign back to previous step by commenting on the question which needs change.
4. Ensure to Sign and attach selfie before submission of section and closing of Form.
5. Ensure to submit all the sections assigned to you.",,,,4
dae3ca02-b67a-4699-83a8-7824813a0b00,02ebd9da-44c1-4619-b3fa-8a0aaf3680c4,bf996092-8d66-408a-8d8e-5065ca3330c2,b8edcd70-28bb-4319-af76-e8f8c0a1cd67,4,Maker - Reinforcement Checklist,"Maker Responsibility's :-

1. Assign the form to yourself by choosing your name from the section assignee dropdown.
2. All star marked questions are mandatory for all.
3. Fill all the details as per site condition and check before reassigning.
4. Ensure to Sign and attach selfie before reassigning.
5. Ensure to reassign the form's section rather than submitting  the section.",,,,5
273bb3a7-4412-431b-9079-71217967f365,02ebd9da-44c1-4619-b3fa-8a0aaf3680c4,bf996092-8d66-408a-8d8e-5065ca3330c2,b8edcd70-28bb-4319-af76-e8f8c0a1cd67,5,Checker - Reinforcement Checklist,"Checker Responsibility's :-

1. Assign the form to yourself by choosing your name from the section assignee dropdown.
2. All star marked questions are mandatory for all.
3. Check all the details as per site condition and if not accepted, then reassign back to previous step by commenting on the question which needs change.
4. Ensure to Sign and attach selfie before submission/reassigning of section and closing of Form.
5. Ensure to submit/reassign all the sections assigned to you.",,,,6
eb299f05-06a8-42bf-a75f-872d549a3574,02ebd9da-44c1-4619-b3fa-8a0aaf3680c4,bf996092-8d66-408a-8d8e-5065ca3330c2,b8edcd70-28bb-4319-af76-e8f8c0a1cd67,6,Approver - Reinforcement Checklist,"Approver Responsibility's :-

1. Assign the form to yourself by choosing your name from the section assignee dropdown.
2. All star marked questions are mandatory for all.
3. Check all the details as per site condition and if not accepted, then reassign back to previous step by commenting on the question which needs change.
4. Ensure to Sign and attach selfie before submission of section and closing of Form.
5. Ensure to submit all the sections assigned to you.",,,,7
138faa0a-e0a5-4bfc-957f-64e31d88c8a6,02ebd9da-44c1-4619-b3fa-8a0aaf3680c4,bf996092-8d66-408a-8d8e-5065ca3330c2,b8edcd70-28bb-4319-af76-e8f8c0a1cd67,7,Maker - Pre Concreting,"Maker Responsibility's :-

1. Assign the form to yourself by choosing your name from the section assignee dropdown.
2. All star marked questions are mandatory for all.
3. Fill all the details as per site condition and check before reassigning.
4. Ensure to Sign and attach selfie before reassigning.
5. Ensure to reassign the form's section rather than submitting  the section.",,,,8
f9ce2793-6d5f-4415-91ea-7ecae6376d04,02ebd9da-44c1-4619-b3fa-8a0aaf3680c4,bf996092-8d66-408a-8d8e-5065ca3330c2,b8edcd70-28bb-4319-af76-e8f8c0a1cd67,8,Checker - Pre Concreting,"Checker Responsibility's :-

1. Assign the form to yourself by choosing your name from the section assignee dropdown.
2. All star marked questions are mandatory for all.
3. Check all the details as per site condition and if not accepted, then reassign back to previous step by commenting on the question which needs change.
4. Ensure to Sign and attach selfie before submission/reassigning of section and closing of Form.
5. Ensure to submit/reassign all the sections assigned to you.",,,,9
253b0a6f-eede-4f86-b651-756057f12405,02ebd9da-44c1-4619-b3fa-8a0aaf3680c4,bf996092-8d66-408a-8d8e-5065ca3330c2,b8edcd70-28bb-4319-af76-e8f8c0a1cd67,9,Approver - Pre Concreting,"Approver Responsibility's :-

1. Assign the form to yourself by choosing your name from the section assignee dropdown.
2. All star marked questions are mandatory for all.
3. Check all the details as per site condition and if not accepted, then reassign back to previous step by commenting on the question which needs change.
4. Ensure to Sign and attach selfie before submission of section and closing of Form.
5. Ensure to submit all the sections assigned to you.",,,,10
36a0e867-40fc-469a-ad78-07a5bc4a0a28,02ebd9da-44c1-4619-b3fa-8a0aaf3680c4,bf996092-8d66-408a-8d8e-5065ca3330c2,b8edcd70-28bb-4319-af76-e8f8c0a1cd67,10,Maker - During Concreting,"Maker Responsibility's :-

1. Assign the form to yourself by choosing your name from the section assignee dropdown.
2. All star marked questions are mandatory for all.
3. Fill all the details as per site condition and check before reassigning.
4. Ensure to Sign and attach selfie before reassigning.
5. Ensure to reassign the form's section rather than submitting  the section.
6. Please ensure to fill & attach the Concrete Placement Record in ""reference of basic information section"" of this Form.",,,,11
81509ddc-4801-4de6-9862-788e7a412fda,02ebd9da-44c1-4619-b3fa-8a0aaf3680c4,bf996092-8d66-408a-8d8e-5065ca3330c2,b8edcd70-28bb-4319-af76-e8f8c0a1cd67,11,Checker - During Concreting,"Checker Responsibility's :-

1. Assign the form to yourself by choosing your name from the section assignee dropdown.
2. All star marked questions are mandatory for all.
3. Check all the details as per site condition and if not accepted, then reassign back to previous step by commenting on the question which needs change.
4. Ensure to Sign and attach selfie before submission/reassigning of section and closing of Form.
5. Ensure to submit/reassign all the sections assigned to you.",,,,12
95c3f682-3c2d-49e5-8dea-96bd9d2e8672,02ebd9da-44c1-4619-b3fa-8a0aaf3680c4,bf996092-8d66-408a-8d8e-5065ca3330c2,b8edcd70-28bb-4319-af76-e8f8c0a1cd67,12,Approver - During Concreting,"Approver Responsibility's :-

1. Assign the form to yourself by choosing your name from the section assignee dropdown.
2. All star marked questions are mandatory for all.
3. Check all the details as per site condition and if not accepted, then reassign back to previous step by commenting on the question which needs change.
4. Ensure to Sign and attach selfie before submission of section and closing of Form.
5. Ensure to submit all the sections assigned to you.",,,,13
6ce5040c-cb7b-4bd8-8736-dc948b6cca0c,02ebd9da-44c1-4619-b3fa-8a0aaf3680c4,bf996092-8d66-408a-8d8e-5065ca3330c2,b8edcd70-28bb-4319-af76-e8f8c0a1cd67,13,Maker - Post Concreting,"Maker Responsibility's :-

1. Assign the form to yourself by choosing your name from the section assignee dropdown.
2. All star marked questions are mandatory for all.
3. Fill all the details as per site condition and check before reassigning.
4. Ensure to Sign and attach selfie before reassigning.
5. Ensure to reassign the form's section rather than submitting  the section.",,,,14
1a39277f-87d7-4780-9925-41f667057e6e,02ebd9da-44c1-4619-b3fa-8a0aaf3680c4,bf996092-8d66-408a-8d8e-5065ca3330c2,b8edcd70-28bb-4319-af76-e8f8c0a1cd67,14,Checker - Post Concreting,"Checker Responsibility's :-

1. Assign the form to yourself by choosing your name from the section assignee dropdown.
2. All star marked questions are mandatory for all.
3. Check all the details as per site condition and if not accepted, then reassign back to previous step by commenting on the question which needs change.
4. Ensure to Sign and attach selfie before submission/reassigning of section and closing of Form.
5. Ensure to submit/reassign all the sections assigned to you.",,,,15
83aed220-7a9e-4e24-8994-f65c1a3771ec,02ebd9da-44c1-4619-b3fa-8a0aaf3680c4,bf996092-8d66-408a-8d8e-5065ca3330c2,b8edcd70-28bb-4319-af76-e8f8c0a1cd67,15,Approver - Post Concreting,"Approver Responsibility's :-

1. Assign the form to yourself by choosing your name from the section assignee dropdown.
2. All star marked questions are mandatory for all.
3. Check all the details as per site condition and if not accepted, then reassign back to previous step by commenting on the question which needs change.
4. Ensure to Sign and attach selfie before submission of section and closing of Form.
5. Ensure to submit all the sections assigned to you.",,,,16
d284d367-6d51-42fc-b310-e43458ebb7ef,0eda0fce-142a-4f52-8710-6aa8c8cf10b3,bf996092-8d66-408a-8d8e-5065ca3330c2,b8edcd70-28bb-4319-af76-e8f8c0a1cd67,0,Maker,"Maker Responsibility's :-

1. Assign the form to yourself by choosing your name from the section assignee dropdown.
2. All star marked questions are mandatory for all.
3. Fill all the details as per site condition and check before reassigning.
4. Ensure to Sign and attach selfie before reassigning.
5. Ensure to reassign the form's section rather than submitting  the section.",,,,1
68bbca3f-45fe-40a8-9fb1-d947cc5af665,0eda0fce-142a-4f52-8710-6aa8c8cf10b3,bf996092-8d66-408a-8d8e-5065ca3330c2,b8edcd70-28bb-4319-af76-e8f8c0a1cd67,1,Checker,"Checker Responsibility's :-

1. Assign the form to yourself by choosing your name from the section assignee dropdown.
2. All star marked questions are mandatory for all.
3. Check all the details as per site condition and if not accepted, then reassign back to previous step by commenting on the question which needs change.
4. Ensure to Sign and attach selfie before submission/reassigning of section and closing of Form.
5. Ensure to submit/reassign all the sections assigned to you.",,,,2
2fdb8038-3057-4e2b-957e-84aac3026fb3,0eda0fce-142a-4f52-8710-6aa8c8cf10b3,bf996092-8d66-408a-8d8e-5065ca3330c2,b8edcd70-28bb-4319-af76-e8f8c0a1cd67,2,Approver,"Approver Responsibility's :-

1. Assign the form to yourself by choosing your name from the section assignee dropdown.
2. All star marked questions are mandatory for all.
3. Check all the details as per site condition and if not accepted, then reassign back to previous step by commenting on the question which needs change.
4. Ensure to Sign and attach selfie before submission of section and closing of Form.
5. Ensure to submit all the sections assigned to you.",,,,3
3e212591-f305-43ee-be16-e8bc0684895d,0eed647f-a284-4828-aa23-e4e868ea4508,bf996092-8d66-408a-8d8e-5065ca3330c2,b8edcd70-28bb-4319-af76-e8f8c0a1cd67,0,Maker - Prior & During Work,"Maker Responsibility's :-

1. Assign the form to yourself by choosing your name from the section assignee dropdown.
2. All star marked questions are mandatory for all.
3. Fill all the details as per site condition and check before reassigning.
4. Ensure to Sign and attach selfie before reassigning.
5. Ensure to reassign the form's section rather than submitting  the section.",,,,1
ed5147a7-cc55-47e4-8eda-7ee2c8019ac7,0eed647f-a284-4828-aa23-e4e868ea4508,bf996092-8d66-408a-8d8e-5065ca3330c2,b8edcd70-28bb-4319-af76-e8f8c0a1cd67,1,Checker - Prior & During Work,"Checker Responsibility's :-

1. Assign the form to yourself by choosing your name from the section assignee dropdown.
2. All star marked questions are mandatory for all.
3. Check all the details as per site condition and if not accepted, then reassign back to previous step by commenting on the question which needs change.
4. Ensure to Sign and attach selfie before submission/reassigning of section and closing of Form.
5. Ensure to submit/reassign all the sections assigned to you.",,,,2
99096a5c-e58e-46d6-80d5-25f0113fc8e7,0eed647f-a284-4828-aa23-e4e868ea4508,bf996092-8d66-408a-8d8e-5065ca3330c2,b8edcd70-28bb-4319-af76-e8f8c0a1cd67,2,Approver - Prior & During Work,"Approver Responsibility's :-

1. Assign the form to yourself by choosing your name from the section assignee dropdown.
2. All star marked questions are mandatory for all.
3. Check all the details as per site condition and if not accepted, then reassign back to previous step by commenting on the question which needs change.
4. Ensure to Sign and attach selfie before submission of section and closing of Form.
5. Ensure to submit all the sections assigned to you.",,,,3
0cc68a0d-bf5a-465f-8cae-08264a6fbd03,0eed647f-a284-4828-aa23-e4e868ea4508,bf996092-8d66-408a-8d8e-5065ca3330c2,b8edcd70-28bb-4319-af76-e8f8c0a1cd67,3,Maker - Post Work,"Maker Responsibility's :-

1. Assign the form to yourself by choosing your name from the section assignee dropdown.
2. All star marked questions are mandatory for all.
3. Fill all the details as per site condition and check before reassigning.
4. Ensure to Sign and attach selfie before reassigning.
5. Ensure to reassign the form's section rather than submitting  the section.",,,,4
d7730fd6-0e32-4151-8484-398fe3bfdce8,0eed647f-a284-4828-aa23-e4e868ea4508,bf996092-8d66-408a-8d8e-5065ca3330c2,b8edcd70-28bb-4319-af76-e8f8c0a1cd67,4,Checker - Post Work,"Checker Responsibility's :-

1. Assign the form to yourself by choosing your name from the section assignee dropdown.
2. All star marked questions are mandatory for all.
3. Check all the details as per site condition and if not accepted, then reassign back to previous step by commenting on the question which needs change.
4. Ensure to Sign and attach selfie before submission/reassigning of section and closing of Form.
5. Ensure to submit/reassign all the sections assigned to you.",,,,5
