uid,layout_uid,section_item_uid,bim360_account_id,bim360_project_id,sort_index,presets,value_name,values_provider,label,column_key,column_type,expression
1cb5b00f-651a-4ad3-9ee9-a7cb1c39a0be,54ad80ba-1466-4416-9d7d-c6c2142095ec,62732f5e-fe10-4dd7-993b-df3be4e3ab75,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,0,,company_id,companies,Company,companyId,uid_val,
1c55d2f3-bd75-421a-934f-47bd526addc5,54ad80ba-1466-4416-9d7d-c6c2142095ec,62732f5e-fe10-4dd7-993b-df3be4e3ab75,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,1,"{Concrete,Drywall,Electrical,HVAC,Labor,Plumbing}",trade,presets,Discipline,trade,text_val,
53ea33a5-f204-4d22-ac46-3ac81c72cb03,54ad80ba-1466-4416-9d7d-c6c2142095ec,62732f5e-fe10-4dd7-993b-df3be4e3ab75,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,2,,role_id,roles,Role,roleId,uid_val,
9887d9e2-c92a-49fd-adda-a4657be03432,54ad80ba-1466-4416-9d7d-c6c2142095ec,62732f5e-fe10-4dd7-993b-df3be4e3ab75,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,3,,headcount,,# Workers,headcount,integer_val,
e9a6c9db-a679-47e7-88c5-c6fc79aea8d4,54ad80ba-1466-4416-9d7d-c6c2142095ec,62732f5e-fe10-4dd7-993b-df3be4e3ab75,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,4,,timespan,,# Regular hours,timespan,timespan_val,
2a62ef51-3ced-489b-bd94-743fe0db63b7,54ad80ba-1466-4416-9d7d-c6c2142095ec,62732f5e-fe10-4dd7-993b-df3be4e3ab75,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,5,,ot_timespan,,# OT hours,otTimespan,timespan_val,
d91e38e2-1584-465b-a7e6-ef0216a63056,54ad80ba-1466-4416-9d7d-c6c2142095ec,62732f5e-fe10-4dd7-993b-df3be4e3ab75,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,6,,description,,Work performed,description,text_val,
866525cb-805d-4cf5-8b6b-07099d8844fe,54ad80ba-1466-4416-9d7d-c6c2142095ec,e00b0f1a-b72d-4c42-83c3-1d16b7805bc2,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,0,,item,,Material,item,text_val,
aab66a55-7dd9-482b-95ee-b9caf880b56c,54ad80ba-1466-4416-9d7d-c6c2142095ec,e00b0f1a-b72d-4c42-83c3-1d16b7805bc2,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,1,,quantity,,Quantity,quantity,number_val,
0a2c868b-67ba-4d57-a5a0-16a11db8089e,54ad80ba-1466-4416-9d7d-c6c2142095ec,e00b0f1a-b72d-4c42-83c3-1d16b7805bc2,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,2,"{each,units,ft,ft²,ft³,LF,yd,yd²,yd³,tons,m,m²,m³,tonnes}",unit,,Unit,unit,text_val,
c71be920-f3fe-406f-af98-c6ad29fa147e,54ad80ba-1466-4416-9d7d-c6c2142095ec,e00b0f1a-b72d-4c42-83c3-1d16b7805bc2,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,3,,description,,Comment,description,text_val,
4e3949b6-e1a2-4678-9681-b2afd180e146,54ad80ba-1466-4416-9d7d-c6c2142095ec,18dc7314-11eb-427c-ab49-de84a4307afb,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,0,,item,,Equipment,item,text_val,
