id,bim360_account_id,bim360_project_id,native_form_id,section_item_uid,attachment_id,attachment_type,item_urn,is_deleted,updated_by,created_by,created_at,updated_at
be76f6ff-0fef-4c0b-829b-33f6cff008db,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,b14a97a2-f130-4beb-ace4-615109c12550,59098690-2291-4c3b-875a-64bce17e82b2,be76f6ff-0fef-4c0b-829b-33f6cff008db,form-field,urn:adsk.wipprod:dm.lineage:FHCfRN96TJ284rAaQbNXYg,f,MWZJGXW9MEMP2RFR,MWZJGXW9MEMP2RFR,2025-06-04 05:51:18,2025-06-04 05:51:18
409c584d-72b1-46ed-9886-279995e2862f,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,b14a97a2-f130-4beb-ace4-615109c12550,0d6e8e8d-360d-4bb0-b068-08a24d41f9ba,409c584d-72b1-46ed-9886-279995e2862f,form-field,urn:adsk.wipprod:dm.lineage:JriqXP6uQIWQ4pwUKXAkBw,f,U8Q2F3P4M3PWWQXF,U8Q2F3P4M3PWWQXF,2025-06-04 12:51:11,2025-06-04 12:51:11
b41db6bc-69fe-4546-8e14-f4dce9a4e693,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,b14a97a2-f130-4beb-ace4-615109c12550,0d6e8e8d-360d-4bb0-b068-08a24d41f9ba,b41db6bc-69fe-4546-8e14-f4dce9a4e693,form-field,urn:adsk.wipprod:dm.lineage:zEd-awGSQSuj5AZnMY6uqA,f,U8Q2F3P4M3PWWQXF,U8Q2F3P4M3PWWQXF,2025-06-04 12:51:17,2025-06-04 12:51:17
1276029b-bffd-4162-bca6-f4883c46da70,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,b14a97a2-f130-4beb-ace4-615109c12550,0d6e8e8d-360d-4bb0-b068-08a24d41f9ba,1276029b-bffd-4162-bca6-f4883c46da70,form-field,urn:adsk.wipprod:dm.lineage:64XfVe_TTfSpB3J9aekOrQ,f,U8Q2F3P4M3PWWQXF,U8Q2F3P4M3PWWQXF,2025-06-04 12:53:13,2025-06-04 12:53:13
8639faff-129a-4cdd-b3a4-66e964ca3750,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,25f4402b-a1ea-4392-ade8-48b8a426943d,eb789f31-30b3-41b3-8074-15f53439b9db,8639faff-129a-4cdd-b3a4-66e964ca3750,form-field,urn:adsk.wipprod:dm.lineage:BUeW83TlQJ-zoUAlaOd6uQ,f,RQ92XKNVL7KYFP4W,RQ92XKNVL7KYFP4W,2025-05-23 03:59:45,2025-05-23 03:59:45
a7e7b9b4-b4b1-4d28-be99-3c18cc2f0857,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,25f4402b-a1ea-4392-ade8-48b8a426943d,eb789f31-30b3-41b3-8074-15f53439b9db,a7e7b9b4-b4b1-4d28-be99-3c18cc2f0857,form-field,urn:adsk.wipprod:dm.lineage:aRrzORjsSK2Yxq4m5q_uFA,f,RQ92XKNVL7KYFP4W,RQ92XKNVL7KYFP4W,2025-05-23 04:00:08,2025-05-23 04:00:08
80c221d1-6c4f-4d69-9aaf-0a31bcf73d1b,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,25f4402b-a1ea-4392-ade8-48b8a426943d,eb789f31-30b3-41b3-8074-15f53439b9db,80c221d1-6c4f-4d69-9aaf-0a31bcf73d1b,form-field,urn:adsk.wipprod:dm.lineage:CSZZ6dqzSV6y0oxbkJwjBg,f,RQ92XKNVL7KYFP4W,RQ92XKNVL7KYFP4W,2025-05-23 04:00:32,2025-05-23 04:00:32
216a0473-155a-40e6-823f-c985e9d5582c,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,25f4402b-a1ea-4392-ade8-48b8a426943d,1e0fe33c-6a07-419e-984d-603346ac7db0,216a0473-155a-40e6-823f-c985e9d5582c,form-field,urn:adsk.wipprod:dm.lineage:bDAuIo9nRh2ydptQzWb62A,f,RQ92XKNVL7KYFP4W,RQ92XKNVL7KYFP4W,2025-05-23 04:02:22,2025-05-23 04:02:22
c2bbd8f5-b850-4819-b996-9f791327b3b9,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,25f4402b-a1ea-4392-ade8-48b8a426943d,3508f962-501b-45bd-92f3-8bbbca35c0f0,c2bbd8f5-b850-4819-b996-9f791327b3b9,form-field,urn:adsk.wipprod:dm.lineage:cWRTbNlCSbm_HHZJA_4vPw,f,RQ92XKNVL7KYFP4W,RQ92XKNVL7KYFP4W,2025-05-23 04:04:45,2025-05-23 04:04:45
4cc41eca-32e3-4fce-a18d-d5447fdfbcfb,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,25f4402b-a1ea-4392-ade8-48b8a426943d,e2a1bbd9-d110-4944-8bcd-7f0c718e6814,4cc41eca-32e3-4fce-a18d-d5447fdfbcfb,form-field,urn:adsk.wipprod:dm.lineage:DgMepxUWTKiPmnnwe2rJuw,f,RQ92XKNVL7KYFP4W,RQ92XKNVL7KYFP4W,2025-05-23 04:06:10,2025-05-23 04:06:10
64cdbc3a-df79-4467-9581-a336a0d05b54,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,25f4402b-a1ea-4392-ade8-48b8a426943d,04662c76-c8ce-42e0-8619-66154d0dedd8,64cdbc3a-df79-4467-9581-a336a0d05b54,form-field,urn:adsk.wipprod:dm.lineage:SPk8-93dR3GtGyOJvb4e2A,f,RQ92XKNVL7KYFP4W,RQ92XKNVL7KYFP4W,2025-05-23 04:07:01,2025-05-23 04:07:01
86e978c9-3a7e-43bc-a6f1-64e300a9ec59,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,b14a97a2-f130-4beb-ace4-615109c12550,0d6e8e8d-360d-4bb0-b068-08a24d41f9ba,86e978c9-3a7e-43bc-a6f1-64e300a9ec59,form-field,urn:adsk.wipprod:dm.lineage:690Db42gTS6xYOkfVkxJ0Q,f,U8Q2F3P4M3PWWQXF,U8Q2F3P4M3PWWQXF,2025-06-04 13:03:59,2025-06-04 13:03:59
079e6139-d57b-4c43-b9cc-237739153548,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,b14a97a2-f130-4beb-ace4-615109c12550,0d6e8e8d-360d-4bb0-b068-08a24d41f9ba,079e6139-d57b-4c43-b9cc-237739153548,form-field,urn:adsk.wipprod:dm.lineage:SUgt_-iDTkKwyxvW96Udfw,f,U8Q2F3P4M3PWWQXF,U8Q2F3P4M3PWWQXF,2025-06-04 13:04:16,2025-06-04 13:04:16
6bd4a99c-4fe9-4d52-ad4e-bcdf04d8b6c1,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,25f4402b-a1ea-4392-ade8-48b8a426943d,59098690-2291-4c3b-875a-64bce17e82b2,6bd4a99c-4fe9-4d52-ad4e-bcdf04d8b6c1,form-field,urn:adsk.wipprod:dm.lineage:FGBYZpklSvG_8ZBwsmxVng,f,VYKJ7GRWMX37AKTY,VYKJ7GRWMX37AKTY,2025-05-23 04:32:47,2025-05-23 04:32:47
0d794f4e-a611-4a68-ada5-3b890dcb077b,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,25f4402b-a1ea-4392-ade8-48b8a426943d,59098690-2291-4c3b-875a-64bce17e82b2,0d794f4e-a611-4a68-ada5-3b890dcb077b,form-field,urn:adsk.wipprod:dm.lineage:aEkujbnHSOmapBTqEGXsgw,f,VYKJ7GRWMX37AKTY,VYKJ7GRWMX37AKTY,2025-05-23 04:33:29,2025-05-23 04:33:29
5f424b36-99b7-4726-b849-a2018fc9bda6,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,25f4402b-a1ea-4392-ade8-48b8a426943d,59098690-2291-4c3b-875a-64bce17e82b2,5f424b36-99b7-4726-b849-a2018fc9bda6,form-field,urn:adsk.wipprod:dm.lineage:71Uo3j47S2Oy4a8OIJTnLw,f,VYKJ7GRWMX37AKTY,VYKJ7GRWMX37AKTY,2025-05-23 04:33:41,2025-05-23 04:33:41
bd81f211-9345-41a9-a764-ade1e4a32eea,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,dee401bb-7033-4bb3-a373-d4f827406fcb,5e43dda5-b578-44df-b8fb-16b3ac57cf2f,bd81f211-9345-41a9-a764-ade1e4a32eea,form-field,urn:adsk.wipprod:dm.lineage:y-vzhqddRemimq7WcKHGyg,f,U8Q2F3P4M3PWWQXF,U8Q2F3P4M3PWWQXF,2025-05-26 07:43:46,2025-05-26 07:43:46
7ef540f7-c5a1-4d34-b398-cca7febaac6c,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,e26d3552-25c6-47e8-8d77-917f359bdc39,f217ae13-7d8c-474f-b301-5ff1a1dad262,7ef540f7-c5a1-4d34-b398-cca7febaac6c,form-field,urn:adsk.wipprod:dm.lineage:W6MeW1ZBR7KMQnO1yAp1_w,f,3AJ2UBWNPMNWLHCM,3AJ2UBWNPMNWLHCM,2025-05-26 09:18:28,2025-05-26 09:18:28
5ae82302-f667-4297-b888-39b47d23edb5,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,948dd48b-e657-4de7-a3e4-b3f5fb75e2d7,3508f962-501b-45bd-92f3-8bbbca35c0f0,5ae82302-f667-4297-b888-39b47d23edb5,form-field,urn:adsk.wipprod:dm.lineage:rZqi_-iBRlWnQVppC4CYVw,f,RQ92XKNVL7KYFP4W,RQ92XKNVL7KYFP4W,2025-05-26 13:08:33,2025-05-26 13:08:33
edb3cb33-9852-499a-ac3b-aa85468954f2,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,dee401bb-7033-4bb3-a373-d4f827406fcb,7542062e-3298-4ce2-8c04-0b6f9bcc81bc,edb3cb33-9852-499a-ac3b-aa85468954f2,form-field,urn:adsk.wipprod:dm.lineage:Of8Eu6f2T96Gdkk27KE28A,f,RQ92XKNVL7KYFP4W,RQ92XKNVL7KYFP4W,2025-05-26 13:13:36,2025-05-26 13:13:36
79c6118f-f558-4a65-9495-4e253041bc5b,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,948dd48b-e657-4de7-a3e4-b3f5fb75e2d7,64f8ea1f-72ae-4827-bf29-b985ddd13359,79c6118f-f558-4a65-9495-4e253041bc5b,form-field,urn:adsk.wipprod:dm.lineage:ptuCWldXQjynpgkhOkqu7Q,f,VYKJ7GRWMX37AKTY,VYKJ7GRWMX37AKTY,2025-05-26 14:42:12,2025-05-26 14:42:12
