weather_id,bim360_account_id,bim360_project_id,hour,summary_key,temp,wind_speed,wind_bearing,humidity,fetched_at,created_at,updated_at
17536158,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,07:00:00,MostlyClear,82.886,3.7,237,0.480,2025-06-27 06:46:36.793153,2025-05-07 06:43:33.062346,2025-06-27 06:46:36.796617
17536158,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,12:00:00,MostlyClear,105.278,9.1,296,0.230,2025-06-27 06:46:36.793436,2025-05-07 06:43:33.062349,2025-06-27 06:46:36.797616
17536158,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,16:00:00,PartlyCloudy,107.762,11.3,312,0.180,2025-06-27 06:46:36.793664,2025-05-07 06:43:33.06235,2025-06-27 06:46:36.798351
19575015,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,07:00:00,MostlyCloudy,79.754,2.9,185,0.930,2025-08-03 06:49:29.310283,2025-07-24 06:45:32.322242,2025-08-03 06:49:29.330839
19575015,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,12:00:00,MostlyCloudy,88.106,4.4,173,0.760,2025-08-03 06:49:29.310592,2025-07-24 06:45:32.322245,2025-08-03 06:49:29.331603
19575015,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,16:00:00,MostlyCloudy,87.926,5.3,221,0.750,2025-08-03 06:49:29.310834,2025-07-24 06:45:32.322246,2025-08-03 06:49:29.331605
19645170,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,07:00:00,Thunderstorms,80.114,2.3,278,0.950,2025-08-04 06:25:33.460361,2025-07-28 10:17:58.161571,2025-08-04 06:25:33.476218
19645170,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,12:00:00,Rain,82.958,3.5,256,0.870,2025-08-04 06:25:33.46065,2025-07-28 10:17:58.161573,2025-08-04 06:25:33.47622
19645170,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,16:00:00,Drizzle,82.76,5.4,256,0.860,2025-08-04 06:25:33.460904,2025-07-28 10:17:58.161574,2025-08-04 06:25:33.47622
19812215,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,07:00:00,Cloudy,78.674,5.0,171,0.940,2025-08-10 05:01:29.560382,2025-08-02 07:37:19.254764,2025-08-10 05:01:29.586097
19812215,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,12:00:00,Cloudy,84.884,4.2,184,0.790,2025-08-10 05:01:29.560834,2025-08-02 07:37:19.254767,2025-08-10 05:01:29.586099
19812215,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,16:00:00,MostlyCloudy,87.476,3.9,205,0.760,2025-08-10 05:01:29.561178,2025-08-02 07:37:19.254768,2025-08-10 05:01:29.5861
17918870,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,07:00:00,Clear,80.312,5.5,91,0.820,2025-05-28 06:38:26.119112,2025-05-22 09:28:52.300336,2025-05-28 06:38:26.142446
17918870,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,12:00:00,MostlyClear,92.084,5.7,127,0.590,2025-05-28 06:38:26.11951,2025-05-22 09:28:52.300338,2025-05-28 06:38:26.143573
17918870,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,16:00:00,MostlyClear,95.45,2.7,103,0.500,2025-05-28 06:38:26.119816,2025-05-22 09:28:52.300339,2025-05-28 06:38:26.144711
19912947,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,07:00:00,MostlyClear,80.546,4.3,80,0.920,2025-08-27 10:03:02.198884,2025-08-06 11:40:05.559736,2025-08-27 10:03:02.208068
19912947,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,12:00:00,PartlyCloudy,90.5,6.8,106,0.680,2025-08-27 10:03:02.19918,2025-08-06 11:40:05.559739,2025-08-27 10:03:02.20807
19912947,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,16:00:00,PartlyCloudy,90.878,5.3,76,0.660,2025-08-27 10:03:02.199413,2025-08-06 11:40:05.559741,2025-08-27 10:03:02.208071
20095150,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,07:00:00,Cloudy,79.988,3.4,151,0.930,2025-08-24 04:31:04.398271,2025-08-13 09:57:51.180819,2025-08-24 04:31:04.418896
