id,updated_at,predicted_at,root_cause,bim360_account_id,bim360_project_id
16f0e834-6a58-48ab-b7f8-2c678dcbffaa,2025-05-29 10:28:33.767,2025-05-29 10:50:15.765995,Documentation Incomplete,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac
e911b3a0-8a76-4e79-8397-1a01a94d58bb,2025-06-19 06:36:27.093,2025-06-19 09:23:29.630024,Documentation Incomplete,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face
bbbe4f4d-c828-4278-acf3-729f1793774a,2025-05-19 09:24:31.457,2025-05-19 09:41:06.884073,Documentation Incomplete,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face
c1b95096-23e6-4519-8f28-09c0eb95fafd,2025-06-28 06:43:45.111,2025-06-28 09:21:59.39812,Documentation Incomplete,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601
c1b95096-23e6-4519-8f28-09c0eb95fafd,2025-06-28 06:43:45.111,2025-06-28 09:21:59.39812,Code Compliance,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601
346cb945-c348-4f4c-8402-11dc4e7e4628,2025-05-23 08:27:12.048,2025-05-23 09:22:01.014361,Documentation Incomplete,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601
7282e0b3-873b-4574-bd2c-3fc97d553ee9,2025-06-20 12:35:20.27,2025-06-20 12:54:08.579672,Documentation Incomplete,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face
64d26f6f-7580-4bc1-98ba-8ae54eed99fb,2025-07-23 04:54:21.722,2025-07-23 09:22:52.541167,Documentation Incomplete,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601
b03f59d3-7897-46cc-83ec-36e8415858d3,2025-08-02 05:31:44.955,2025-08-02 09:24:01.897436,Other,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601
c1f224e8-c8d7-4d3e-9ca9-66288b4b943e,2025-07-24 06:03:08.879,2025-07-24 09:22:48.995526,Documentation Incomplete,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac
96a263f8-ed22-464e-91e0-cfa64dc3b89b,2025-07-25 05:03:23.361,2025-07-25 09:25:21.770301,Documentation Incomplete,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac
86d9b4a1-5f2b-4586-94a4-b228db89c15c,2025-07-22 06:07:08.292,2025-07-22 09:23:33.756201,Other,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac
2623b592-b957-46c8-868e-77cb4788d069,2025-07-22 06:08:23.902,2025-07-22 09:23:19.287327,Other,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac
912a0928-1599-459b-b703-92e9c6ac1f29,2025-08-08 05:46:44.711,2025-08-08 09:24:32.544256,Other,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac
e66c5a9d-a05d-4530-8c34-7e0e52b9a36b,2025-08-01 10:14:48.807,2025-08-01 10:22:42.856836,Documentation Incomplete,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face
64ba1333-14ae-405b-88c4-869d2810e5b2,2025-08-16 05:23:10.661,2025-08-16 09:27:17.637212,Documentation Incomplete,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac
cd7c713a-ae11-4092-9580-89bc58188aa8,2025-08-26 14:34:29.747,2025-08-26 14:50:58.653369,Other,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac
cb6ebf4d-e2f9-43b2-a076-37e25ba5b267,2025-08-21 15:50:10.777,2025-08-21 16:10:16.140208,Other,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac
85a9b9a0-7602-43cb-8103-fcdcc3f3453b,2025-08-22 05:49:36.42,2025-08-22 09:24:04.433673,Documentation Incomplete,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face
974dd3ab-d863-4dad-b8cd-6daac1016478,2025-08-28 05:46:24.521,2025-08-28 09:22:07.621223,Other,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac
adf43e5c-df5e-4ec0-8266-ca4458007f25,2025-08-28 12:47:33.05,2025-08-28 13:06:38.646599,Documentation Incomplete,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac
5d584edc-7355-457f-97d2-16c8a0318d6b,2025-03-07 07:56:03.29,2025-03-07 10:23:33.118059,Documentation Incomplete,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face
