issue_type_id,bim360_account_id,bim360_project_id,issue_type,is_active,created_by,created_at,updated_by,updated_at,deleted_by,deleted_at
b2361f12-0e8c-5a7a-9044-8498609b321f,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,Observation,t,System,2025-02-25 06:04:35.806,System,2025-02-25 06:04:35.885,,
7c6f1f7e-3f46-56b7-95a2-5f0a202be8e3,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,Work List,f,System,2025-02-25 06:04:35.838,System,2025-02-25 06:04:35.891,,
af96c0ca-f94c-56ba-9472-bc7097857cce,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,Safety,t,System,2025-02-25 06:04:35.845,System,2025-04-28 11:19:07.381,,
5265f4c4-27eb-5b28-9491-35fb7e411e75,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,Commissioning,t,System,2025-02-25 06:04:35.874,CMJ2N3U8MSMRM8ZA,2025-07-18 06:00:23.033,,
e56a8f6c-241a-5b0f-a393-f174d39920a3,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,Coordination,t,System,2025-02-25 06:04:35.883,System,2025-02-25 06:04:35.936,,
223482c5-72aa-54a5-88e9-4363071fe4c1,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,Quality,t,System,2025-02-25 06:04:35.897,V9Q2X946QA52XTJG,2025-04-09 06:40:30.936,,
c3d06624-4eb2-5232-9c6b-8f6d62e98475,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,Punch List,t,System,2025-02-25 06:04:36.274,System,2025-02-25 06:04:36.368,,
3066072e-a352-5078-b174-7a83d08807f9,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,Design,t,System,2025-02-25 06:04:36.318,CMJ2N3U8MSMRM8ZA,2025-07-24 05:58:39.329,,
a2e30ec2-839b-53c6-bf19-d77be8325869,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,General,t,System,2025-02-25 06:04:35.875,System,2025-02-25 06:04:36.378,,
29b033f2-ed76-5338-bb44-0c14ffc1837e,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,Warranty,f,System,2025-02-25 06:04:35.895,System,2025-02-25 06:04:36.411,,
52bf023b-a895-4782-8d35-4e9f19e7f4e9,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,MEP,t,CMJ2N3U8MSMRM8ZA,2025-07-18 06:02:38.565,CMJ2N3U8MSMRM8ZA,2025-07-18 06:02:38.938,,
d703e801-5bbd-4fe0-ae62-257336c4c761,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,Contracts,t,V9Q2X946QA52XTJG,2025-05-27 11:09:29.048,System,2025-07-24 08:16:35.026,,
906fb545-82dc-5199-a790-6e9060f29d73,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,Observation,f,System,2025-03-21 09:13:11.693,3NH2Q57QKQWJE37V,2025-06-25 06:06:23.761,,
378724f1-cf10-5d94-ad72-d2b34a7a1514,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,Design Task,t,System,2025-03-21 09:13:11.81,System,2025-03-21 09:13:11.997,,
403dd2f5-fc22-5e67-94ad-fddf247007ad,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,CDE,t,System,2025-03-21 09:13:11.908,System,2025-03-21 09:13:12.105,,
324ca867-1856-5a7b-982a-ecc8f9f46a77,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,Safety,t,System,2025-03-21 09:13:12.068,System,2025-03-21 09:13:12.133,,
1d746b90-f530-59f1-80c7-05691855bb2d,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,Warranty,f,System,2025-03-21 09:13:12.07,System,2025-03-21 09:13:12.175,,
809b5efa-8bc6-502c-ab0c-54d8c4e70bda,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,Contracts & Procurement,t,System,2025-03-21 09:13:11.865,System,2025-03-21 09:13:12.183,,
8b2d702c-ccda-542c-afa7-f2d35ef81853,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,Commissioning,f,System,2025-03-21 09:13:11.92,3NH2Q57QKQWJE37V,2025-06-25 06:05:49.508,,
a4afa4ad-6ac8-5d90-a4e5-52f927414a38,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,Work List,f,System,2025-03-21 09:13:11.918,System,2025-03-21 09:13:12.268,,
d9ae642d-6aeb-5f44-bb96-4ced62e4b7d6,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,Design,t,System,2025-03-21 09:13:11.921,CMJ2N3U8MSMRM8ZA,2025-07-30 11:33:02.335,,
df70a014-2549-51ae-8404-2eefcda277e0,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,General,f,System,2025-03-21 09:13:11.805,3NH2Q57QKQWJE37V,2025-06-25 06:06:10.728,,
2b8d5102-2538-55ef-82ac-31192871aa54,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,Quality,t,System,2025-03-21 09:13:11.767,System,2025-03-21 09:13:12.412,,
deb11110-0d4c-52d9-9d83-5aac4e9347f6,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,Coordination,t,System,2025-03-21 09:13:12.569,System,2025-03-21 09:13:12.642,,
60fa5aaa-463d-5a8c-9f46-763da9410d89,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,Billing,t,System,2025-03-21 09:13:12.513,System,2025-03-21 09:13:12.655,,
df3a3f56-f89d-5124-9f46-7eac0532fa63,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,QS/Estimation,t,System,2025-03-21 09:13:12.527,System,2025-03-21 09:13:12.663,,
9bbdb64a-f56b-518b-a733-84f43d46ec47,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,Old Issues,f,System,2025-03-21 09:13:11.732,3NH2Q57QKQWJE37V,2025-06-25 06:06:34.294,,
bc8ff2ea-35ad-54fd-929a-6a1586e5a09d,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,Planning,f,System,2025-03-21 09:13:12.069,3NH2Q57QKQWJE37V,2025-06-25 06:06:46.282,,
41a193cb-fa0d-5495-9d6b-10da8f35b755,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,Punch List,f,System,2025-03-21 09:13:12.076,3NH2Q57QKQWJE37V,2025-06-25 06:07:55.076,,
f7b484f6-7846-5417-8717-d4d7a0512ec7,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,Snag,f,System,2025-03-21 09:13:12.528,3NH2Q57QKQWJE37V,2025-06-25 06:08:10.478,,
45a08a8d-9724-5419-905c-15b1e3e53b9d,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,Task,f,System,2025-03-21 09:13:12.007,3NH2Q57QKQWJE37V,2025-06-25 06:08:21.925,,
f8eb7ca9-a0f4-5bfb-bbf4-f0f7488aa579,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,Work Orders,f,System,2025-03-21 09:13:11.796,3NH2Q57QKQWJE37V,2025-06-25 06:09:13.226,,
58c90ce6-5ee4-4d08-b66d-bfb6c3496b33,bf996092-8d66-408a-8d8e-5065ca3330c2,61c6206e-6e04-428a-836e-f68959d2a057,Design,t,System,2025-07-16 11:22:47.054,System,2025-07-16 11:22:47.067,,
42840c32-51e8-4b52-846e-1ffbedb65967,bf996092-8d66-408a-8d8e-5065ca3330c2,61c6206e-6e04-428a-836e-f68959d2a057,Quality,t,System,2025-07-16 11:22:47.054,System,2025-07-16 11:22:47.054,,
