issue_id,bim360_account_id,bim360_project_id,display_id,title,description,type_id,subtype_id,status,assignee_id,assignee_type,due_date,location_id,location_details,linked_document_urn,owner_id,root_cause_id,root_cause_category_id,response,response_by,response_at,opened_by,opened_at,closed_by,closed_at,created_by,created_at,updated_by,updated_at,start_date,deleted_at,snapshot_urn,published,gps_coordinates,deleted_by
a540957e-173f-413e-bcdc-d4802c15ec06,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,31,Quality Observation,,b2361f12-0e8c-5a7a-9044-8498609b321f,33ade147-842f-5e16-b6cf-51f834a0ac96,completed,3NH2Q57QKQWJE37V,user,2025-08-05 00:00:00,10082042-c56c-49e4-accd-6facdae50a00,,,CMJ2N3U8MSMRM8ZA,,,,,,CMJ2N3U8MSMRM8ZA,2025-08-01 10:03:31.218,,,CMJ2N3U8MSMRM8ZA,2025-08-01 10:03:31.242,CMJ2N3U8MSMRM8ZA,2025-08-01 10:05:21.496,2025-08-01 00:00:00,,,t,,
d2494a36-bdbe-4c79-a9da-897b768f92c6,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,32,Quality Observation,,223482c5-72aa-54a5-88e9-4363071fe4c1,ab2a7079-617a-527b-9147-f12e8ed2e8fd,closed,CMJ2N3U8MSMRM8ZA,user,2025-08-26 00:00:00,10082042-c56c-49e4-accd-6facdae50a00,,,CMJ2N3U8MSMRM8ZA,,,,,,CMJ2N3U8MSMRM8ZA,2025-08-22 05:42:11.815,CMJ2N3U8MSMRM8ZA,2025-08-22 05:44:21.458,CMJ2N3U8MSMRM8ZA,2025-08-22 05:42:11.828,CMJ2N3U8MSMRM8ZA,2025-08-22 05:44:21.464,2025-08-22 00:00:00,,,t,,
364cfdf7-d9d4-43c9-8c85-0b33931f0291,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,5,Design,As per our discussion please change the area.,3066072e-a352-5078-b174-7a83d08807f9,2648a979-4f2d-53d0-8d61-ad651f940314,open,CMJ2N3U8MSMRM8ZA,user,2025-04-25 00:00:00,ff0d854b-5b56-45fc-87ab-6ee969bbd83d,,urn:adsk.wipprod:dm.lineage:oaTOWeuQSdeyU-wSucRkjw,V9Q2X946QA52XTJG,ad671f4d-9f83-47aa-b6a8-e5ca4b131d06,369f1b01-8c1a-445f-a5f3-85b1adbb9a14,,,,V9Q2X946QA52XTJG,2025-04-23 06:05:39.67,,,V9Q2X946QA52XTJG,2025-04-23 06:05:39.677,V9Q2X946QA52XTJG,2025-07-24 09:10:00.598,2025-04-23 00:00:00,2025-07-24 09:10:00.524,urn:adsk.objects:os.object:ng-issues-prod-ada6015d-9fce-4f2c-b20f-fc9122d2face/ecc8eac1-4789-4e22-9d7c-8b55df046817,t,,CMJ2N3U8MSMRM8ZA
566f6c3e-3cb2-4bf6-b645-766524d5460e,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,6,permit closure,,223482c5-72aa-54a5-88e9-4363071fe4c1,ab2a7079-617a-527b-9147-f12e8ed2e8fd,closed,490203457,role,2025-04-24 00:00:00,,,,V9Q2X946QA52XTJG,,,,,,V9Q2X946QA52XTJG,2025-04-23 10:19:11.471,V9Q2X946QA52XTJG,2025-04-23 10:21:04.816,V9Q2X946QA52XTJG,2025-04-23 10:19:11.48,V9Q2X946QA52XTJG,2025-07-24 09:11:51.424,,2025-07-24 09:11:51.404,,t,,CMJ2N3U8MSMRM8ZA
a0547556-db56-4e40-be84-c306fdd1414f,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,7,Quality walk vkj,,223482c5-72aa-54a5-88e9-4363071fe4c1,ab2a7079-617a-527b-9147-f12e8ed2e8fd,in_review,MJU2FLVXJAQLGRH7,user,2025-05-07 00:00:00,,,,V9Q2X946QA52XTJG,,,,,,V9Q2X946QA52XTJG,2025-05-06 07:44:02.024,,,V9Q2X946QA52XTJG,2025-05-06 07:44:02.031,MJU2FLVXJAQLGRH7,2025-07-24 09:10:00.598,2025-05-06 00:00:00,2025-07-24 09:10:00.524,,t,,CMJ2N3U8MSMRM8ZA
19c06efb-0464-44a4-9829-d7e9110a02d8,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,28,RFI Response Awaited,RFI-03 Response Awaited,3066072e-a352-5078-b174-7a83d08807f9,8654ad66-e5dd-440b-ac28-5a268c3c57c5,open,G5LJ2CH9PRAMRT7X,user,2025-07-28 00:00:00,ff0d854b-5b56-45fc-87ab-6ee969bbd83d,,urn:adsk.wipprod:dm.lineage:LanMysM0RRG5tcgj2-Mleg,G5LJ2CH9PRAMRT7X,d1d4e0cd-9a3b-4dfb-a978-01a765c9eb47,f6e0605d-517c-4e72-af25-0700e722bd23,,,,G5LJ2CH9PRAMRT7X,2025-07-09 08:58:51.853,,,G5LJ2CH9PRAMRT7X,2025-07-09 08:58:51.862,CMJ2N3U8MSMRM8ZA,2025-07-24 07:29:21.495,2025-07-09 00:00:00,,urn:adsk.objects:os.object:ng-issues-prod-ada6015d-9fce-4f2c-b20f-fc9122d2face/9b5a1fb2-64bc-432d-ab50-190372bc8a97,t,,
4adcd120-9643-4ca5-8008-4cf2de94e310,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,27,Architecture GFC Drawings,"1st, 2nd Floor GFC Drawings",3066072e-a352-5078-b174-7a83d08807f9,79fcdc74-0b40-41b5-9f71-91971017ae8d,open,H4J29KZBMAKAE737,user,2025-07-31 00:00:00,ff0d854b-5b56-45fc-87ab-6ee969bbd83d,,urn:adsk.wipprod:dm.lineage:hPuURcRoTZaIF0MMQl5O_g,V9Q2X946QA52XTJG,6b563f68-7e5d-4303-af03-73b123e17f12,27fc382d-1ca2-4ab1-a2f5-32344038e670,,,,V9Q2X946QA52XTJG,2025-07-03 09:46:20.437,,,V9Q2X946QA52XTJG,2025-07-03 09:46:20.445,CMJ2N3U8MSMRM8ZA,2025-07-24 07:31:13.431,2025-07-03 00:00:00,,urn:adsk.objects:os.object:ng-issues-prod-ada6015d-9fce-4f2c-b20f-fc9122d2face/ec9bc958-2c7d-4aac-afa4-2908cedb378a,t,,
40e573ff-5b8b-42a2-a3ee-0ea96a777ccd,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,10,Ground Floor Structure GFC drawing,Ground Floor Structure GFC drawing required,3066072e-a352-5078-b174-7a83d08807f9,79fcdc74-0b40-41b5-9f71-91971017ae8d,closed,G5LJ2CH9PRAMRT7X,user,2025-06-26 00:00:00,ff0d854b-5b56-45fc-87ab-6ee969bbd83d,"",,3NGJNZCXN8PBNTRV,d1d4e0cd-9a3b-4dfb-a978-01a765c9eb47,f6e0605d-517c-4e72-af25-0700e722bd23,,,,CMJ2N3U8MSMRM8ZA,2025-07-24 08:09:28.841,CMJ2N3U8MSMRM8ZA,2025-07-24 08:09:35.559,3NGJNZCXN8PBNTRV,2025-05-19 11:41:52.915,CMJ2N3U8MSMRM8ZA,2025-07-24 08:10:28.52,2025-05-19 00:00:00,,,t,,
cc93d0a7-0d21-4d0a-af7e-cf37be96e02c,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,26,Architecture GFC Drawings,Elevation Drawing Required,3066072e-a352-5078-b174-7a83d08807f9,79fcdc74-0b40-41b5-9f71-91971017ae8d,open,H4J29KZBMAKAE737,user,2025-07-26 00:00:00,ff0d854b-5b56-45fc-87ab-6ee969bbd83d,,,V9Q2X946QA52XTJG,6b563f68-7e5d-4303-af03-73b123e17f12,27fc382d-1ca2-4ab1-a2f5-32344038e670,,,,V9Q2X946QA52XTJG,2025-06-19 11:29:49.743,,,V9Q2X946QA52XTJG,2025-06-19 11:29:49.75,CMJ2N3U8MSMRM8ZA,2025-07-24 08:05:15.595,2025-07-24 00:00:00,,,t,,
ed684abe-a608-4b24-b3c6-d84310218304,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,29,WO Amendment,Civil Vendor WO Amendment,d703e801-5bbd-4fe0-ae62-257336c4c761,0e07eb88-8953-4d0e-ba74-a2a5ed1aa681,open,DVW2J8GUNHESYYKC,user,2025-07-30 00:00:00,ff0d854b-5b56-45fc-87ab-6ee969bbd83d,,,CMJ2N3U8MSMRM8ZA,78c8bb5b-5a1b-4acf-8579-b6bcd526b110,20fe858c-b2eb-4a1b-8e40-c3aa5367f4e1,,,,CMJ2N3U8MSMRM8ZA,2025-07-18 06:13:00.402,,,CMJ2N3U8MSMRM8ZA,2025-07-18 06:13:00.42,CMJ2N3U8MSMRM8ZA,2025-07-24 08:17:25.657,2025-07-21 00:00:00,,,t,,
