root_cause_category_id,bim360_account_id,bim360_project_id,root_cause_category,is_active,created_by,created_at,updated_by,updated_at,deleted_by,deleted_at,is_system
026acf35-c542-4035-8200-9c41704f304e,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,Biiling,t,DVW2J8GUNHESYYKC,2025-07-17 07:32:21.258,DVW2J8GUNHESYYKC,2025-07-17 07:32:39.003,DVW2J8GUNHESYYKC,2025-07-17 07:32:39.005,f
f6e0605d-517c-4e72-af25-0700e722bd23,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,Structure,t,CMJ2N3U8MSMRM8ZA,2025-07-18 06:24:22.675,CMJ2N3U8MSMRM8ZA,2025-07-18 06:24:22.675,,,f
27fc382d-1ca2-4ab1-a2f5-32344038e670,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,Architecture,t,CMJ2N3U8MSMRM8ZA,2025-07-24 05:59:32.338,CMJ2N3U8MSMRM8ZA,2025-07-24 05:59:32.338,,,f
891d4556-333b-417e-aa86-4345140eed23,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,MEP,t,CMJ2N3U8MSMRM8ZA,2025-07-24 05:59:49.95,CMJ2N3U8MSMRM8ZA,2025-07-24 05:59:49.95,,,f
20fe858c-b2eb-4a1b-8e40-c3aa5367f4e1,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,Contract,t,CMJ2N3U8MSMRM8ZA,2025-07-24 06:07:53.107,CMJ2N3U8MSMRM8ZA,2025-07-24 06:07:53.107,,,f
c5563db5-ca48-4175-b3cb-c7dc55e7aaba,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,Structure,t,CMJ2N3U8MSMRM8ZA,2025-07-30 11:30:36.265,CMJ2N3U8MSMRM8ZA,2025-07-30 11:30:36.265,,,f
78284b01-4b2a-42aa-a7b7-32100c3a1136,,,Commissioning,t,System,2018-12-06 08:25:17.653,System,2018-12-09 09:43:32.047,System,2018-12-09 09:43:32.051,t
be910738-48c7-4162-a341-25e04e6d07ef,,,Observation,t,System,2018-12-06 08:25:17.653,System,2018-12-09 09:43:32.047,System,2018-12-09 09:43:32.051,t
4fdee626-495f-4933-81f6-4116804aeaf8,,,Punch List,t,System,2018-12-06 08:25:17.653,System,2018-12-09 09:43:32.047,System,2018-12-09 09:43:32.051,t
6ffc9bf3-eb67-4aba-ae58-801bbb86dfd0,,,Warranty,t,System,2018-12-06 08:25:17.653,System,2018-12-09 09:43:32.047,System,2018-12-09 09:43:32.051,t
67d0b1c8-d915-4f82-911a-dd39631d2bd6,,,Work List,t,System,2018-12-06 08:25:17.653,System,2018-12-09 09:43:32.047,System,2018-12-09 09:43:32.051,t
a5cc6ec9-7e42-4413-b90d-1e3dcb6ad61c,,,Quality,t,System,2018-12-06 08:25:17.653,8P9VK3RMFR2M,2021-03-29 15:29:02.728,,,t
93d1b9cb-deb0-4166-9a48-5f0227feaacb,,,Safety,t,System,2018-12-06 08:25:17.653,8P9VK3RMFR2M,2021-03-29 15:28:56.048,,,t
369f1b01-8c1a-445f-a5f3-85b1adbb9a14,,,Coordination,t,System,2018-12-06 08:25:17.653,UH23PDKQG8F4,2021-03-29 20:33:29.608,,,t
4cd8807f-a158-429b-97f6-ccef826570b2,,,Design,t,System,2018-12-06 08:25:17.653,8P9VK3RMFR2M,2021-03-29 15:29:01.701,,,t
