id,bim360_account_id,bim360_project_id,seq_id,project_id,photo_id,tag_name,tag_type,created_at,creator_id,deleted_at,deleter_id,model_version
288418048,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,289699709,ada6015d-9fce-4f2c-b20f-fc9122d2face,e27237ae-9964-4c91-871d-25194224ba34,ceiling framing,ml,2025-04-19 14:41:50.011811,autotag,,,3
288418049,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,289699705,ada6015d-9fce-4f2c-b20f-fc9122d2face,e27237ae-9964-4c91-871d-25194224ba34,ceiling tile,ml,2025-04-19 14:41:50.011811,autotag,,,3
288418050,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,289699706,ada6015d-9fce-4f2c-b20f-fc9122d2face,e27237ae-9964-4c91-871d-25194224ba34,electrical,ml,2025-04-19 14:41:50.011811,autotag,,,3
288418051,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,289699707,ada6015d-9fce-4f2c-b20f-fc9122d2face,e27237ae-9964-4c91-871d-25194224ba34,framing,ml,2025-04-19 14:41:50.011811,autotag,,,3
288418052,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,289699708,ada6015d-9fce-4f2c-b20f-fc9122d2face,e27237ae-9964-4c91-871d-25194224ba34,lighting,ml,2025-04-19 14:41:50.011811,autotag,,,3
288418899,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,289700561,ada6015d-9fce-4f2c-b20f-fc9122d2face,2be782e6-c612-4885-a46b-21caf658abb7,air diffuser,ml,2025-04-19 14:47:04.16199,autotag,,,3
288418900,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,289700556,ada6015d-9fce-4f2c-b20f-fc9122d2face,2be782e6-c612-4885-a46b-21caf658abb7,ceiling framing,ml,2025-04-19 14:47:04.16199,autotag,,,3
288418901,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,289700557,ada6015d-9fce-4f2c-b20f-fc9122d2face,2be782e6-c612-4885-a46b-21caf658abb7,ceiling tile,ml,2025-04-19 14:47:04.16199,autotag,,,3
288418902,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,289700558,ada6015d-9fce-4f2c-b20f-fc9122d2face,2be782e6-c612-4885-a46b-21caf658abb7,electrical,ml,2025-04-19 14:47:04.16199,autotag,,,3
288418903,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,289700559,ada6015d-9fce-4f2c-b20f-fc9122d2face,2be782e6-c612-4885-a46b-21caf658abb7,framing,ml,2025-04-19 14:47:04.16199,autotag,,,3
288418904,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,289700560,ada6015d-9fce-4f2c-b20f-fc9122d2face,2be782e6-c612-4885-a46b-21caf658abb7,lighting,ml,2025-04-19 14:47:04.16199,autotag,,,3
288419379,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,289701039,ada6015d-9fce-4f2c-b20f-fc9122d2face,e62036e4-b823-4f43-ac91-d07105e8a269,drywall,ml,2025-04-19 14:49:50.004923,autotag,,,3
288419380,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,289701036,ada6015d-9fce-4f2c-b20f-fc9122d2face,e62036e4-b823-4f43-ac91-d07105e8a269,openings,ml,2025-04-19 14:49:50.004923,autotag,,,3
288419381,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,289701037,ada6015d-9fce-4f2c-b20f-fc9122d2face,e62036e4-b823-4f43-ac91-d07105e8a269,wall,ml,2025-04-19 14:49:50.004923,autotag,,,3
288419382,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,289701038,ada6015d-9fce-4f2c-b20f-fc9122d2face,e62036e4-b823-4f43-ac91-d07105e8a269,window,ml,2025-04-19 14:49:50.004923,autotag,,,3
288420779,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,289702440,ada6015d-9fce-4f2c-b20f-fc9122d2face,286d9d8b-d1ca-428d-9da3-16ce9f111e2c,air diffuser,ml,2025-04-19 14:57:47.404132,autotag,,,3
288420780,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,289702436,ada6015d-9fce-4f2c-b20f-fc9122d2face,286d9d8b-d1ca-428d-9da3-16ce9f111e2c,ceiling framing,ml,2025-04-19 14:57:47.404132,autotag,,,3
288420781,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,289702437,ada6015d-9fce-4f2c-b20f-fc9122d2face,286d9d8b-d1ca-428d-9da3-16ce9f111e2c,electrical,ml,2025-04-19 14:57:47.404132,autotag,,,3
288420782,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,289702438,ada6015d-9fce-4f2c-b20f-fc9122d2face,286d9d8b-d1ca-428d-9da3-16ce9f111e2c,framing,ml,2025-04-19 14:57:47.404132,autotag,,,3
288420783,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,289702439,ada6015d-9fce-4f2c-b20f-fc9122d2face,286d9d8b-d1ca-428d-9da3-16ce9f111e2c,lighting,ml,2025-04-19 14:57:47.404132,autotag,,,3
288422106,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,289703769,ada6015d-9fce-4f2c-b20f-fc9122d2face,54ccd953-2f83-4c59-913c-cd6303d088a7,air diffuser,ml,2025-04-19 15:05:35.958811,autotag,,,3
288422107,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,289703765,ada6015d-9fce-4f2c-b20f-fc9122d2face,54ccd953-2f83-4c59-913c-cd6303d088a7,ceiling framing,ml,2025-04-19 15:05:35.958811,autotag,,,3
288422108,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,289703766,ada6015d-9fce-4f2c-b20f-fc9122d2face,54ccd953-2f83-4c59-913c-cd6303d088a7,electrical,ml,2025-04-19 15:05:35.958811,autotag,,,3
288422109,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,289703767,ada6015d-9fce-4f2c-b20f-fc9122d2face,54ccd953-2f83-4c59-913c-cd6303d088a7,framing,ml,2025-04-19 15:05:35.958811,autotag,,,3
