id,bim360_account_id,bim360_project_id,project_id,referencer_urn,participant_id,participant_type,created_at
67268785,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,f679f4cf-c089-4a2b-9b84-b14129630601,urn:acs.rfis:rfi:f679f4cf-c089-4a2b-9b84-b14129630601/45153a66-5422-4e2f-9a8e-0e3713ff9d2f,501989665,group,2025-06-16 12:12:00.67709
68091150,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,967e785d-d83c-490b-8d6a-2ed926c956ac,urn:acs.rfis:rfi:967e785d-d83c-490b-8d6a-2ed926c956ac/fcdfb5a9-1e9c-4797-afb5-46f7615f2e46,501949008,group,2025-06-27 05:07:54.402472
68091151,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,967e785d-d83c-490b-8d6a-2ed926c956ac,urn:acs.rfis:rfi:967e785d-d83c-490b-8d6a-2ed926c956ac/fcdfb5a9-1e9c-4797-afb5-46f7615f2e46,501949038,group,2025-06-27 05:07:54.402476
68091152,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,967e785d-d83c-490b-8d6a-2ed926c956ac,urn:acs.rfis:rfi:967e785d-d83c-490b-8d6a-2ed926c956ac/fcdfb5a9-1e9c-4797-afb5-46f7615f2e46,501949062,group,2025-06-27 05:07:54.402478
68091153,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,967e785d-d83c-490b-8d6a-2ed926c956ac,urn:acs.rfis:rfi:967e785d-d83c-490b-8d6a-2ed926c956ac/fcdfb5a9-1e9c-4797-afb5-46f7615f2e46,501949065,group,2025-06-27 05:07:54.402479
68091154,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,967e785d-d83c-490b-8d6a-2ed926c956ac,urn:acs.rfis:rfi:967e785d-d83c-490b-8d6a-2ed926c956ac/fcdfb5a9-1e9c-4797-afb5-46f7615f2e46,501949067,group,2025-06-27 05:07:54.40248
68091155,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,967e785d-d83c-490b-8d6a-2ed926c956ac,urn:acs.rfis:rfi:967e785d-d83c-490b-8d6a-2ed926c956ac/fcdfb5a9-1e9c-4797-afb5-46f7615f2e46,501949075,group,2025-06-27 05:07:54.402481
68091156,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,967e785d-d83c-490b-8d6a-2ed926c956ac,urn:acs.rfis:rfi:967e785d-d83c-490b-8d6a-2ed926c956ac/fcdfb5a9-1e9c-4797-afb5-46f7615f2e46,501949064,group,2025-06-27 05:07:54.402482
68091157,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,967e785d-d83c-490b-8d6a-2ed926c956ac,urn:acs.rfis:rfi:967e785d-d83c-490b-8d6a-2ed926c956ac/fcdfb5a9-1e9c-4797-afb5-46f7615f2e46,501949076,group,2025-06-27 05:07:54.402483
68091158,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,967e785d-d83c-490b-8d6a-2ed926c956ac,urn:acs.rfis:rfi:967e785d-d83c-490b-8d6a-2ed926c956ac/fcdfb5a9-1e9c-4797-afb5-46f7615f2e46,501949068,group,2025-06-27 05:07:54.402484
68091190,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,967e785d-d83c-490b-8d6a-2ed926c956ac,urn:acs.rfis:rfi:967e785d-d83c-490b-8d6a-2ed926c956ac/fcdfb5a9-1e9c-4797-afb5-46f7615f2e46,CMJ2N3U8MSMRM8ZA,user,2025-06-27 05:11:14.154236
68091191,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,967e785d-d83c-490b-8d6a-2ed926c956ac,urn:acs.rfis:rfi:967e785d-d83c-490b-8d6a-2ed926c956ac/fcdfb5a9-1e9c-4797-afb5-46f7615f2e46,UQ72RJ7QKZSW8XTA,user,2025-06-27 05:11:14.15424
68091192,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,967e785d-d83c-490b-8d6a-2ed926c956ac,urn:acs.rfis:rfi:967e785d-d83c-490b-8d6a-2ed926c956ac/fcdfb5a9-1e9c-4797-afb5-46f7615f2e46,VYKJ7GRWMX37AKTY,user,2025-06-27 05:11:14.154241
68093712,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,967e785d-d83c-490b-8d6a-2ed926c956ac,urn:acs.rfis:rfi:967e785d-d83c-490b-8d6a-2ed926c956ac/fcdfb5a9-1e9c-4797-afb5-46f7615f2e46,S762NMGBKUB423MM,user,2025-06-27 09:33:16.447933
