rfi_id,bim360_account_id,bim360_project_id,id,created_at,created_by,updated_at,body
45153a66-5422-4e2f-9a8e-0e3713ff9d2f,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,06bb3e5b-7235-4da1-9bf9-3ef2ccd9d208,2025-06-04 05:36:57.981,CMJ2N3U8MSMRM8ZA,2025-06-16 12:11:59.527,"@{""type"": ""user"", ""id"": ""G5LJ2CH9PRAMRT7X"", ""name"": ""Dushyant Verma""} @{""type"": ""user"", ""id"": ""FM42EJFZPNC5F3HF"", ""name"": ""SHYAM SUNDAR ROY""} please provide the RFI response."
eabfeed2-bcf3-4530-b2c3-20fbdd3f965a,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,bef18f99-a303-4451-8951-72218da46ed8,2025-05-29 09:16:37.038,G5LJ2CH9PRAMRT7X,2025-05-30 04:27:01.119,"@{""type"": ""user"", ""id"": ""U8Q2F3P4M3PWWQXF"", ""name"": ""Deepak Bhardwaj""} - RFI response has been provided."
16f0e834-6a58-48ab-b7f8-2c678dcbffaa,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,7528a767-10fa-4171-801d-34a9848e5bbf,2025-05-29 10:28:33.144,U8Q2F3P4M3PWWQXF,2025-05-29 10:28:33.144,Beam Size as Per Section is correct and drawing attached
96a263f8-ed22-464e-91e0-cfa64dc3b89b,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,6364f306-ff8f-4cd9-ac68-a35c0e4c9d95,2025-07-22 04:46:45.66,CMJ2N3U8MSMRM8ZA,2025-07-25 05:03:23.356,"@{""type"": ""user"", ""id"": ""67E2T63RRMUGH3NG"", ""name"": ""chirag Lakhani""} @{""type"": ""user"", ""id"": ""S762NMGBKUB423MM"", ""name"": ""Bhaskar Bharadwaj""} 
please provide the RFI response."
96a263f8-ed22-464e-91e0-cfa64dc3b89b,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,2ac3fee0-329d-4a1d-b801-085133ec4b06,2025-07-24 08:35:17.693,CMJ2N3U8MSMRM8ZA,2025-07-25 05:03:23.356,"@{""type"": ""user"", ""id"": ""67E2T63RRMUGH3NG"", ""name"": ""chirag Lakhani""} @{""type"": ""user"", ""id"": ""G5LJ2CH9PRAMRT7X"", ""name"": ""Dushyant Verma""} @{""type"": ""user"", ""id"": ""S762NMGBKUB423MM"", ""name"": ""Bhaskar Bharadwaj""} 
Response awaited."
fcdfb5a9-1e9c-4797-afb5-46f7615f2e46,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,53eb6e97-836c-4809-b6a7-1135cf2d03f2,2025-07-11 04:42:49.952,CMJ2N3U8MSMRM8ZA,2025-07-13 07:00:36.788,"@{""type"": ""user"", ""id"": ""G5LJ2CH9PRAMRT7X"", ""name"": ""Dushyant Verma""} @{""type"": ""user"", ""id"": ""S762NMGBKUB423MM"", ""name"": ""Bhaskar Bharadwaj""} RFI response pending. Please provide at the earliest."
fcdfb5a9-1e9c-4797-afb5-46f7615f2e46,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,b921a053-a534-4a74-b921-930b1f1adef7,2025-07-11 05:01:51.978,G5LJ2CH9PRAMRT7X,2025-07-13 07:00:36.788,"@{""type"": ""user"", ""id"": ""CMJ2N3U8MSMRM8ZA"", ""name"": ""Deepak Kumar""} - Discussion done with Chirag. They are responding today."
9442770e-e584-4ce9-87d8-309ec0e35dde,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,e8923bca-44ad-4f43-aeed-229414115f6c,2025-07-11 04:50:48.736,G5LJ2CH9PRAMRT7X,2025-07-13 07:07:31.769,"@{""type"": ""user"", ""id"": ""67E2T63RRMUGH3NG"", ""name"": ""chirag Lakhani""} - Please review the RFI. It is related with the shape of LB1. Another is for erecting brick work/ block work from  Grade Slab, whether any separate footing is required or not. 

Please provide the response by today."
87adb94e-c40f-4f41-be00-b99e961003af,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,ba196025-4cc1-4097-8de4-b8887b4932db,2025-07-22 04:59:28.075,CMJ2N3U8MSMRM8ZA,2025-07-28 04:53:09.323,"@{""type"": ""user"", ""id"": ""S762NMGBKUB423MM"", ""name"": ""Bhaskar Bharadwaj""} @{""type"": ""user"", ""id"": ""FM42EJFZPNC5F3HF"", ""name"": ""SHYAM SUNDAR ROY""} 
Response awaited"
e911b3a0-8a76-4e79-8397-1a01a94d58bb,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,820b9fd9-8e95-4136-98f7-1959422d79e3,2025-05-30 07:12:35.969,CMJ2N3U8MSMRM8ZA,2025-06-19 06:36:27.089,"@{""type"": ""user"", ""id"": ""CMJ2N3U8MSMRM8ZA"", ""name"": ""Deepak Kumar""} Submitted the answer with reference
"
