rfi_id,bim360_account_id,bim360_project_id,location
8526edfc-ea2a-44bd-9b09-edb1072ac332,bf996092-8d66-408a-8d8e-5065ca3330c2,3473261e-0400-4f3f-881d-b12012018bee,
337cf77d-9035-4ea4-b98c-9343ef205817,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,
5b720536-4706-4490-b00b-9d3e8f81a3ff,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,
5d584edc-7355-457f-97d2-16c8a0318d6b,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,
63a8591c-f7bd-4448-8d90-e3894eb810e8,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,
6f61287e-aabf-4244-9508-328892a68dcd,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,1st Floor
7282e0b3-873b-4574-bd2c-3fc97d553ee9,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,Floor 1
7f5cb8a6-045c-4ea5-9be3-1015bd7d7ce3,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,
82eab9df-677f-4593-8f6d-8c74e38a1ff6,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,
85a9b9a0-7602-43cb-8103-fcdcc3f3453b,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,
940d0f6c-6d48-4a8e-884b-f75a8b003042,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,
9bf2869f-da2e-4282-8c03-5588b932d8b4,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,1st floor
b0299193-39bf-4e3b-891f-8659b358ae85,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,
bbbe4f4d-c828-4278-acf3-729f1793774a,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,
bfaf378f-5271-4593-8374-2d1495aacea0,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,First Floor
cdad1adc-45ec-4168-82b0-16632c84986e,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,
e66c5a9d-a05d-4530-8c34-7e0e52b9a36b,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,
e7de1f64-5f22-4757-ae61-7275b21cec04,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,
e911b3a0-8a76-4e79-8397-1a01a94d58bb,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,
ebae4fd9-7df4-4399-b7d0-5c192d69587c,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,"Grid X1-X5/Y1-Y2, 2nd Floor"
67813d5f-7d58-4fdc-bffd-68324f052c5e,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,Coloumn 
713040cc-7359-40c4-9cde-2538924f9ac3,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,Grade slab
79d38989-fc0e-4b82-a3ee-4a3775d7c7d6,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,Combined Footing (X11-12/Y6-8) (X11-12/Y11-13) (X7/Y12-13)(X5-6/Y16)
93b819ae-26c5-487f-a2b0-b427c708493d,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,
9a80afc6-80e4-4198-a70b-6dc9474cddc8,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,Footing
b97e32fe-3759-4e91-99b1-0f27419ab2da,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,FOOTING SIZE MISMATCH IN PLAN AND REINFORCEMENT DRAWINGS
c8303991-6637-47f8-9144-8a38071905db,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,FOOTING 
