id,bim360_account_id,bim360_project_id,rfi_id,from_status,to_status,created_at,created_by
15bedcfa-064b-4592-a801-1c151441863d,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,b0299193-39bf-4e3b-891f-8659b358ae85,,draft,2025-03-05 09:42:35.628,Z3429E4KRUPBNHD4
c6d7df59-f2ed-421c-9330-37840a490954,bf996092-8d66-408a-8d8e-5065ca3330c2,3473261e-0400-4f3f-881d-b12012018bee,8526edfc-ea2a-44bd-9b09-edb1072ac332,,draft,2025-03-05 10:24:31.267,CMJ2N3U8MSMRM8ZA
8a5fbab1-3a80-42fe-8667-4a4eee6683bf,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,45153a66-5422-4e2f-9a8e-0e3713ff9d2f,,open,2025-05-28 10:43:54.289,7XGJKR7GMJ4QN93J
34c789d6-06aa-46d0-ac60-82eca01a9979,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,05050ce4-7eb8-47c5-b0d7-2463271de5c6,answered,closed,2025-06-03 06:05:48.058,U8Q2F3P4M3PWWQXF
51965957-50b0-4903-87fc-edfea65b35f4,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,05050ce4-7eb8-47c5-b0d7-2463271de5c6,closed,answered,2025-06-03 06:05:55.508,U8Q2F3P4M3PWWQXF
9299f4b7-c595-487f-a82b-118ab7213026,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,05050ce4-7eb8-47c5-b0d7-2463271de5c6,answered,closed,2025-06-03 06:07:49.673,U8Q2F3P4M3PWWQXF
6c53bc80-9274-498a-af9f-ff30075fe456,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,703cfc1d-6e3f-4588-8cce-bb97d726d407,,draft,2025-06-03 10:28:40.661,WK7J3NJWMTCK9UWQ
c516e12f-6ec1-42f1-bb3b-dab443855286,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,703cfc1d-6e3f-4588-8cce-bb97d726d407,draft,submitted,2025-06-03 10:32:39.757,WK7J3NJWMTCK9UWQ
cf20abf3-f0ba-4e53-8e14-ca9a5dbd6110,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,703cfc1d-6e3f-4588-8cce-bb97d726d407,submitted,openRev1,2025-06-03 10:37:34.014,U8Q2F3P4M3PWWQXF
fc2e8179-541e-4723-9927-442c8cbd6774,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,703cfc1d-6e3f-4588-8cce-bb97d726d407,openRev1,openRev2,2025-06-03 10:38:15.597,U8Q2F3P4M3PWWQXF
8b1d72e3-360c-44ae-b5b5-7817794cd8c6,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,45153a66-5422-4e2f-9a8e-0e3713ff9d2f,open,answered,2025-06-16 12:11:24.865,7XGJKR7GMJ4QN93J
b796da9d-71a4-4f25-8514-a719ab331010,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,45153a66-5422-4e2f-9a8e-0e3713ff9d2f,answered,closed,2025-06-16 12:11:59.529,7XGJKR7GMJ4QN93J
20152ce7-2b15-43d7-8f57-18e4b21ddd4c,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,7282e0b3-873b-4574-bd2c-3fc97d553ee9,draft,open,2025-06-20 12:34:18.202,DVW2J8GUNHESYYKC
4dd2fb20-dd38-4102-b88f-b5e566925ffd,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,7282e0b3-873b-4574-bd2c-3fc97d553ee9,open,answered,2025-06-20 12:34:50.458,DVW2J8GUNHESYYKC
5f652af3-1065-4277-968c-3afe5389daee,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,7282e0b3-873b-4574-bd2c-3fc97d553ee9,answered,closed,2025-06-20 12:35:20.267,DVW2J8GUNHESYYKC
9af069f8-461d-4a26-bff7-ab211d47ab24,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,bff81e2b-9089-470d-8f07-7311d06b75a7,open,answered,2025-07-17 12:48:36.816,S762NMGBKUB423MM
1ddeeede-dbf9-4371-a6b0-1082221817a4,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,2623b592-b957-46c8-868e-77cb4788d069,openRev1,answeredManager,2025-07-22 05:11:12.005,G5LJ2CH9PRAMRT7X
1b73a142-a351-45de-800d-23192dfbffcc,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,86d9b4a1-5f2b-4586-94a4-b228db89c15c,openRev1,answeredManager,2025-07-22 05:23:13.42,G5LJ2CH9PRAMRT7X
7b26292d-d05f-493b-9cc5-c0ef05baa048,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,86d9b4a1-5f2b-4586-94a4-b228db89c15c,answeredManager,closed,2025-07-22 06:07:08.289,U8Q2F3P4M3PWWQXF
c2b6d275-eb56-41d1-9d87-1b2e68d3b234,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,2623b592-b957-46c8-868e-77cb4788d069,answeredManager,closed,2025-07-22 06:08:23.899,U8Q2F3P4M3PWWQXF
627ff212-45fa-42ce-b189-4568c4da0b57,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,96a263f8-ed22-464e-91e0-cfa64dc3b89b,openRev2,answeredRev1,2025-07-25 04:59:11.831,67E2T63RRMUGH3NG
f81b0a36-c170-4200-8ca6-8b76b4427683,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,96a263f8-ed22-464e-91e0-cfa64dc3b89b,answeredRev1,answeredManager,2025-07-25 04:59:26.797,67E2T63RRMUGH3NG
98f710f8-3f93-4583-bbc0-cdf56e42700d,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,96a263f8-ed22-464e-91e0-cfa64dc3b89b,answeredManager,closed,2025-07-25 05:02:17.749,U8Q2F3P4M3PWWQXF
5a5a249f-0a4b-4f54-b2c5-95f6bf0ad4be,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,96a263f8-ed22-464e-91e0-cfa64dc3b89b,closed,answeredManager,2025-07-25 05:02:23.881,U8Q2F3P4M3PWWQXF
6cf21d36-ead1-42bc-83a0-0f6cfeec778e,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,96a263f8-ed22-464e-91e0-cfa64dc3b89b,answeredManager,closed,2025-07-25 05:03:23.357,U8Q2F3P4M3PWWQXF
c17b39af-87a8-40d1-bc16-b0d9c01aab12,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,974dd3ab-d863-4dad-b8cd-6daac1016478,,openRev1,2025-08-21 05:36:49.25,U8Q2F3P4M3PWWQXF
4c64468d-da60-4da9-857a-b951dd72f4d3,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,5d584edc-7355-457f-97d2-16c8a0318d6b,,draft,2025-03-07 07:50:01.217,EHAJMY6KJEY6BP5Y
