id,bim360_account_id,bim360_project_id,custom_identifier,title,question,status,due_date,linked_document,linked_document_version,linked_document_close_version,official_response,official_response_status,responded_at,responded_by,created_by,created_at,updated_by,updated_at,closed_by,closed_at,suggested_answer,manager_id,answered_at,answered_by,cost_impact,schedule_impact,priority,reference,opened_at,location_id,rfi_type,bridged_source,bridged_target
0cd75373-6a38-46af-b878-5abccb5640ca,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,5,Obstruction in D-Wall Anchoring at multiple locations ,"For the first level anchoring at -3.8 M in the panel no 83 , some external water source got punctured while drilling reached 9 meter incline length. Same has occur in panel no- 79, 81, 83. 
The probable cause is some external services line running outside the boundary. 
Kindly suggest the further needful.",closed,2025-06-24 00:00:00,,,,Jaydeep Wagh (GEOCON INTERNATIONAL PVT. LTD.): Please change anchor inclination to 70degree with vertical. If this is not feasible then core cutting should be done 1m below the current anchor level to install the new anchors.,answered,2025-07-05 03:48:48.229,7XGJKR7GMJ4QN93J,7XGJKR7GMJ4QN93J,2025-06-23 12:29:24.369,7XGJKR7GMJ4QN93J,2025-07-05 03:48:48.609,7XGJKR7GMJ4QN93J,2025-07-05 03:48:48.229,,7XGJKR7GMJ4QN93J,2025-07-04 08:53:17.057,G5LJ2CH9PRAMRT7X,Unknown,Unknown,High,,2025-06-23 12:29:24.359,8dd7807e-e644-45ca-b47e-aa20abfd8b76,9efdc739-2919-42e2-a899-d87d34b024f8,f,f
346cb945-c348-4f4c-8402-11dc4e7e4628,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,2,Details required  for retaining wall in D-wall,Structure details for the retaining wall shown in the section of D-wall at zone 1A and Zone 1C required. ,closed,2025-05-22 00:00:00,,,,"Bhaskar Bharadwaj (Omaxe Limited): Please find attached response to said RFI, attachements are also there ",answered,2025-05-23 08:27:11.813,7XGJKR7GMJ4QN93J,7XGJKR7GMJ4QN93J,2025-05-20 10:30:11.987,7XGJKR7GMJ4QN93J,2025-05-23 08:27:12.048,7XGJKR7GMJ4QN93J,2025-05-23 08:27:11.813,,7XGJKR7GMJ4QN93J,2025-05-23 07:07:46.301,S762NMGBKUB423MM,No,No,Normal,,2025-05-20 10:30:11.978,3a97abe5-cd07-449b-ba56-024e9d83c9e6,9c7880e9-c7fe-4f79-a354-5a795ed7aaf0,f,f
45153a66-5422-4e2f-9a8e-0e3713ff9d2f,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,4,Reinforcement details at cut out in D-wall ,"1- Capping beam in above mentioned panels is shown at lower level.  And from capping beam there are service cut outs. Vertical steel at cut out area will be terminated. Thus the steel arrangement from top of cut out to wall termination level is required. (Screen Shot attached)
2- Anchorage of capping beam of lower level with D-walls at both side. (Sketch attached)",closed,2025-06-11 00:00:00,,,,SHYAM SUNDAR ROY (CBM Engineers India): Response received in comments ,answered,2025-06-16 12:11:59.234,7XGJKR7GMJ4QN93J,7XGJKR7GMJ4QN93J,2025-05-28 10:43:54.281,7XGJKR7GMJ4QN93J,2025-06-16 12:11:59.532,7XGJKR7GMJ4QN93J,2025-06-16 12:11:59.234,,7XGJKR7GMJ4QN93J,2025-06-16 12:11:24.864,7XGJKR7GMJ4QN93J,No,No,High,,2025-06-11 03:46:18.322,3a97abe5-cd07-449b-ba56-024e9d83c9e6,9c7880e9-c7fe-4f79-a354-5a795ed7aaf0,f,f
4dbed860-0879-4aa4-9a98-1f20405dd952,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,3,Refer SK-01 - Ld length - Dowels details for GF slab,"Reference SK-01 for dowels details for GF slab,  the top bar is shown with an ""l""  with Ld-460 mm in capping beam. The required Ld 460 mm completes in straight shape only since the thickness of capping beam is 600 mm. 

Additionally, a horizontal bar needs to be provided to tie the bottom bar(dowel) with.  Approval required. ",closed,2025-05-22 00:00:00,,,,"Bhaskar Bharadwaj (Omaxe Limited): 
For the Top bar, we need to have 150mm vertical bend in addition to 460mm. Horizontal bars if required can be added as per site condition.
(Sketch is also attached)
",answered,2025-05-23 09:40:04.634,7XGJKR7GMJ4QN93J,7XGJKR7GMJ4QN93J,2025-05-22 06:41:31.902,7XGJKR7GMJ4QN93J,2025-05-23 09:40:04.931,7XGJKR7GMJ4QN93J,2025-05-23 09:40:04.634,,7XGJKR7GMJ4QN93J,2025-05-23 07:25:27.91,S762NMGBKUB423MM,No,No,Normal,,2025-05-22 06:41:31.897,3a97abe5-cd07-449b-ba56-024e9d83c9e6,9c7880e9-c7fe-4f79-a354-5a795ed7aaf0,f,f
53f61369-aaca-4d22-952f-b49d2e81fbf4,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,6,Strut Details required ,"Details for the strut required. 

Also request to review the details as the strut is shown only at one location. (plan attached) ",closed,2025-07-01 00:00:00,,,,Bhaskar Bharadwaj (Omaxe Limited): Kindly follow the attached drawing,answered,2025-07-05 03:50:55.296,7XGJKR7GMJ4QN93J,7XGJKR7GMJ4QN93J,2025-06-28 07:09:11,7XGJKR7GMJ4QN93J,2025-07-05 03:50:55.5,7XGJKR7GMJ4QN93J,2025-07-05 03:50:55.296,,7XGJKR7GMJ4QN93J,2025-07-04 10:32:59.101,S762NMGBKUB423MM,Unknown,No,Normal,,2025-06-28 07:09:10.993,8dd7807e-e644-45ca-b47e-aa20abfd8b76,9efdc739-2919-42e2-a899-d87d34b024f8,f,f
64d26f6f-7580-4bc1-98ba-8ae54eed99fb,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,10,Layout For Permanent Strut ,Layout details Required the  for the Permanent Strut in D-wall.  ,closed,,,,,Dushyant Verma (Omaxe Limited): Refer the revised drawing issued on 19 July 2025.,answered,2025-07-23 04:54:21.452,7XGJKR7GMJ4QN93J,7XGJKR7GMJ4QN93J,2025-07-15 10:14:33.724,7XGJKR7GMJ4QN93J,2025-07-23 04:54:21.722,7XGJKR7GMJ4QN93J,2025-07-23 04:54:21.452,,7XGJKR7GMJ4QN93J,2025-07-21 04:12:26.901,G5LJ2CH9PRAMRT7X,No,No,Normal,,2025-07-15 10:14:33.719,8dd7807e-e644-45ca-b47e-aa20abfd8b76,9efdc739-2919-42e2-a899-d87d34b024f8,f,f
87adb94e-c40f-4f41-be00-b99e961003af,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,9,Footing extra reinforcement details required ,"Bar ID missing for the top extra reinforcement in following footings (marked in red in attachment) - 
CF2, CF3, CF8 & CF9. 
Kindly review.",closed,2025-07-15 00:00:00,,,,"SHYAM SUNDAR ROY (CBM Engineers India): Please take updated drawings from Published GFC folder, in there we have updated the drawings.

And in the submitted updated drawings there are covered.",answered,2025-07-28 04:53:09.029,7XGJKR7GMJ4QN93J,7XGJKR7GMJ4QN93J,2025-07-10 11:35:13.174,7XGJKR7GMJ4QN93J,2025-07-28 04:53:09.327,7XGJKR7GMJ4QN93J,2025-07-28 04:53:09.029,,7XGJKR7GMJ4QN93J,2025-07-28 04:29:28.849,S762NMGBKUB423MM,No,No,Normal,,2025-07-10 11:35:13.171,8dd7807e-e644-45ca-b47e-aa20abfd8b76,9efdc739-2919-42e2-a899-d87d34b024f8,f,f
b03f59d3-7897-46cc-83ec-36e8415858d3,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,11,Anchor Obstruction at First level ,"While doing first level anchoring drilling got obstructed on two locations at below different inclined length - 

1- Panel 83 2nd anchor at 9 meter and external line got punctured leading to water ingress with heavy flow. As suggested by consultant  We tried alternative anchor 1 meter below but water and slush started coming out of hole. (Anchor highlighted RED)

2- At panel 75 the second anchor got obstructed at 12 meter inclined length. (Anchor highlighted BLUE)

A GPR survey report is also attached herewith for the kind reference. 
Also, requesting to review the report considering the anchors at two other side along external road.",closed,2025-07-16 00:00:00,,,,Dushyant Verma (Omaxe Limited): Please refer the revised drawing issued by Mr. Sandipan Sarkar on 19 July 2025. ,answered,2025-08-02 05:31:44.698,7XGJKR7GMJ4QN93J,7XGJKR7GMJ4QN93J,2025-07-15 11:14:01.57,7XGJKR7GMJ4QN93J,2025-08-02 05:31:44.955,7XGJKR7GMJ4QN93J,2025-08-02 05:31:44.698,,7XGJKR7GMJ4QN93J,2025-08-01 07:43:55.731,G5LJ2CH9PRAMRT7X,Unknown,Yes,High,,2025-07-15 11:14:01.563,8dd7807e-e644-45ca-b47e-aa20abfd8b76,9efdc739-2919-42e2-a899-d87d34b024f8,f,f
bff81e2b-9089-470d-8f07-7311d06b75a7,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,8,Concrete Grade in R/wall at D-wall ,"Refer the issued details for the r/wall originating from the capping beam in cut out area, the grade is concrete is given M-30. 
Quantity of the same is being very small and having supply constraint Requesting and considering the grade of concrete same as D-wall capping beam (M-25) .",closed,2025-07-10 00:00:00,,,,"SHYAM SUNDAR ROY (CBM Engineers India): Concrete grade of retaining wall changed to M25, earlier this was M30, Updated drawing is attached herewith, and is also uploaded in Published GFC Folder.",answered,2025-07-23 04:58:58.531,7XGJKR7GMJ4QN93J,7XGJKR7GMJ4QN93J,2025-07-09 05:56:25.097,7XGJKR7GMJ4QN93J,2025-07-23 04:58:58.879,7XGJKR7GMJ4QN93J,2025-07-23 04:58:58.531,,7XGJKR7GMJ4QN93J,2025-07-17 12:48:36.814,S762NMGBKUB423MM,No,No,High,,2025-07-09 05:56:25.093,8dd7807e-e644-45ca-b47e-aa20abfd8b76,9efdc739-2919-42e2-a899-d87d34b024f8,f,f
c1b95096-23e6-4519-8f28-09c0eb95fafd,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,1,Specification & method statement of permanent anchor,Specification & method statement of permanent anchor required.,closed,2025-05-20 00:00:00,,,,Dushyant Verma (Omaxe Limited): Please refer the attached Specification and Method Statement for Permanent Anchors.,answered,2025-05-22 08:43:40.126,7XGJKR7GMJ4QN93J,YQH2SLPMM8Q48DDT,2025-05-19 07:18:39.504,7XGJKR7GMJ4QN93J,2025-06-28 06:43:45.111,7XGJKR7GMJ4QN93J,2025-05-22 08:43:40.126,,7XGJKR7GMJ4QN93J,2025-05-20 08:30:04.46,G5LJ2CH9PRAMRT7X,No,Yes,High,,2025-05-19 07:28:03.003,0a03c663-363b-473b-b6e6-c14e1a8079b8,cc53c76c-57c0-420b-b80b-a7628ad318b6,f,f
