id,bim360_account_id,bim360_project_id,spec_id,spec_identifier,title,type_id,type_value,response_comment,ball_in_court,revision,responded_by,description,responded_at,due_date,required_on_job_date,manager,created_by,created_at,state_id,response_id,response_value,subsection,subcontractor,identifier,updated_by,updated_at,status_id,status_value,package_title,package,package_identifier,priority_id,priority_value,required_date,required_approval_date,lead_time,sent_to_submitter,received_from_submitter,submitted_by,sent_to_review,sent_to_review_by,received_from_review,published_date,published_by,submitter_due_date,manager_due_date,ball_in_court_users,ball_in_court_roles,ball_in_court_companies,manager_type,subcontractor_type,custom_identifier,custom_identifier_sort,custom_identifier_human_readable,pending_actions_from
eaccb5de-c57c-46f0-93e1-2898af32b59a,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,68bfb30e-f8a4-4ecb-8eaf-f232d554e81f,GA,Drawing,93030d90-05c1-4520-a34f-376b69ee3c04,"Civil, Structure & Finishing Works","",{},0,,"",,,2025-06-26,490203451,DVW2J8GUNHESYYKC,2025-06-24 05:50:33.152259,void,,,,DVW2J8GUNHESYYKC,76,CMJ2N3U8MSMRM8ZA,2025-07-18 10:55:43.748879,4,Void,,,,3,High,2025-06-25,2025-06-25,1,2025-06-24 05:51:02.756773,,,,,,,,2025-06-24,,{},{},{},3,1,,GA,GA-Unspecified,[]
a76dd82f-6f53-4716-8404-51f00d0974f1,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,b75d6874-9ed9-4c7c-a97e-3a46464edc13,ADHOC,Krion RA Bill for Phase 3&4,331a9137-1ffc-4a64-8ebd-85b549bb8484,Billing,"",{},0,,"",,,,490203451,YEYJGRGXQH2X5DAY,2025-06-07 10:19:42.1504,mgr-1,,,,YEYJGRGXQH2X5DAY,65,CMJ2N3U8MSMRM8ZA,2025-07-18 10:55:43.748879,2,Open,,,,2,Normal,,,,,2025-06-07 10:19:42.148252,,,,,,,,,{},{490203451},{},3,1,,ADHOC,ADHOC-Unspecified,"[""490203451""]"
db31b112-2044-44d3-9494-9c3bdb548783,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,18a6d444-7366-43b3-987f-26f24e8307e1,CB,Reconciliation of Material,331a9137-1ffc-4a64-8ebd-85b549bb8484,Billing,"",{},0,,,,,,V9Q2X946QA52XTJG,V9Q2X946QA52XTJG,2025-05-29 10:00:03.146418,void,,,,CMJ2N3U8MSMRM8ZA,52,CMJ2N3U8MSMRM8ZA,2025-07-18 10:55:43.748879,4,Void,,,,2,Normal,,,,2025-05-29 10:02:18.63123,,,,,,,,2025-06-05,2025-05-27,{},{},{},1,1,18,CB-18,CB-18,[]
ce62c26a-abff-4f7f-8f8b-e1515107a27f,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,18a6d444-7366-43b3-987f-26f24e8307e1,CB,Mandatory Supporting Documents with Bills,331a9137-1ffc-4a64-8ebd-85b549bb8484,Billing,"",{},0,,,,,,V9Q2X946QA52XTJG,V9Q2X946QA52XTJG,2025-05-29 10:00:02.920323,void,,,,CMJ2N3U8MSMRM8ZA,49,CMJ2N3U8MSMRM8ZA,2025-07-18 10:55:43.748879,4,Void,,,,2,Normal,,,,2025-05-29 10:02:18.8655,,,,,,,,2025-06-05,2025-05-27,{},{},{},1,1,15,CB-15,CB-15,[]
6dd87211-87d4-4cee-8f8f-b73d0adfa624,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,18a6d444-7366-43b3-987f-26f24e8307e1,CB,Rate Difference /Price Variation(PV)Statement,331a9137-1ffc-4a64-8ebd-85b549bb8484,Billing,"",{},0,,,,,,V9Q2X946QA52XTJG,V9Q2X946QA52XTJG,2025-05-23 10:21:59.864229,void,,,,Z3429E4KRUPBNHD4,33,CMJ2N3U8MSMRM8ZA,2025-07-18 10:55:43.748879,4,Void,,,,2,Normal,,,,2025-05-23 10:32:54.016357,,,,,,,,2025-05-26,2025-05-27,{},{},{},1,1,7,CB-7,CB-7,[]
f0919f59-b78c-4575-8081-7f21323b8455,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,b75d6874-9ed9-4c7c-a97e-3a46464edc13,ADHOC,RA Bill,331a9137-1ffc-4a64-8ebd-85b549bb8484,Billing,"",{},0,,Civil Bill,,2025-06-10,2025-06-15,490203451,YEYJGRGXQH2X5DAY,2025-06-05 08:40:50.270191,rev,,,,YEYJGRGXQH2X5DAY,60,CMJ2N3U8MSMRM8ZA,2025-07-18 10:55:43.748879,2,Open,,,,3,High,2025-06-06,2025-06-10,,,2025-06-05 08:40:50.267541,,2025-06-05 08:48:37.827189,CMJ2N3U8MSMRM8ZA,,,,,2025-06-06,{},{490203453},{},3,1,16,ADHOC-16,ADHOC-16,"[""490203453""]"
4c67a73c-863c-4b2b-9a6d-7885a4e567de,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,18a6d444-7366-43b3-987f-26f24e8307e1,CB,test,331a9137-1ffc-4a64-8ebd-85b549bb8484,Billing,"",{},1,,"",,2025-06-07,,490203451,YEYJGRGXQH2X5DAY,2025-06-05 10:39:49.070557,sbc-1,,,,YEYJGRGXQH2X5DAY,61,CMJ2N3U8MSMRM8ZA,2025-07-18 10:55:43.748879,1,Required,,,,2,Normal,,,,2025-06-05 10:57:52.635866,,,,,,,,2025-06-07,,{YEYJGRGXQH2X5DAY},{},{},3,1,19,CB-19,CB-19,"[""YEYJGRGXQH2X5DAY""]"
7d90bcf8-c4b3-4291-a677-3a096ab9f255,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,b75d6874-9ed9-4c7c-a97e-3a46464edc13,ADHOC,bill,5a98dc9f-6f9a-4c0c-a1da-a20e8aada871,Architecture,"",{},0,,"",,,,490203451,3NH2Q57QKQWJE37V,2025-07-24 09:58:59.400185,mgr-1,,,,3NH2Q57QKQWJE37V,88,3NH2Q57QKQWJE37V,2025-07-24 09:59:14.47743,2,Open,,,,2,Normal,,,,,2025-07-24 09:58:59.397917,,,,,,,,,{},{490203451},{},3,1,,ADHOC,ADHOC-Unspecified,"[""490203451""]"
600f07d2-4e21-4424-9426-35a95340bf6f,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,b75d6874-9ed9-4c7c-a97e-3a46464edc13,ADHOC,TEST/JUNE2025,93030d90-05c1-4520-a34f-376b69ee3c04,"Civil, Structure & Finishing Works","",{},0,,"",,2025-06-28,,490203451,V9Q2X946QA52XTJG,2025-06-26 07:12:24.591956,rev,,,,V9Q2X946QA52XTJG,80,CMJ2N3U8MSMRM8ZA,2025-07-18 10:55:43.748879,2,Open,,,,2,Normal,,,,,2025-06-26 07:12:24.590308,,2025-06-26 07:12:34.976883,V9Q2X946QA52XTJG,,,,,,{},{490203446},{},3,1,25,ADHOC-25,ADHOC-25,"[""490203446""]"
03c32be5-6e83-4c26-a2a8-a9e47d80e4aa,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,b75d6874-9ed9-4c7c-a97e-3a46464edc13,ADHOC,KRION/MAY/25/RA3,331a9137-1ffc-4a64-8ebd-85b549bb8484,Billing,"",{},0,,hdhc,,2025-06-05,2025-06-10,490203451,YEYJGRGXQH2X5DAY,2025-06-03 11:17:25.321002,rev,,,Krion Consultancy,YEYJGRGXQH2X5DAY,55,CMJ2N3U8MSMRM8ZA,2025-07-18 10:55:43.748879,2,Open,,,,2,Normal,2025-06-05,2025-06-10,5,,2025-06-03 11:17:25.318903,,2025-06-03 11:20:09.813051,V9Q2X946QA52XTJG,,,,,,{},"{490203428,536031703}",{},3,1,13,ADHOC-13,ADHOC-13,"[""490203428"", ""536031703""]"
